Zip Code,city,state_id,state_name,county_name,Total Population,Median Age,Total Males,Total Females,Total Households,Average Household Size
90502,Torrance,CA,California,Los Angeles,18010,40.2,8811,9199,5717,2.94
90503,Torrance,CA,California,Los Angeles,44383,40.8,21481,22902,17183,2.55
90504,Torrance,CA,California,Los Angeles,32102,40.3,15886,16216,11580,2.76
90505,Torrance,CA,California,Los Angeles,36678,43,17684,18994,14244,2.55
90506,Torrance,CA,California,Los Angeles,0,0,0,0,0,0
90601,Whittier,CA,California,Los Angeles,31974,36.6,15312,16662,11027,2.89
90602,Whittier,CA,California,Los Angeles,25777,30.9,12720,13057,7980,3.09
90603,Whittier,CA,California,Los Angeles,20063,39.4,9694,10369,6788,2.93
90604,Whittier,CA,California,Los Angeles,39407,34.1,19270,20137,11932,3.29
90605,Whittier,CA,California,Los Angeles,40331,32.6,20033,20298,10527,3.81
90606,Whittier,CA,California,Los Angeles,32396,33.5,15936,16460,8633,3.72
