Date,Number of Records,Stock,Stock Value
2/2/2009,1,Adbe,16.700001
3/2/2009,1,Adbe,21.389999
4/1/2009,1,Adbe,27.35
5/1/2009,1,Adbe,28.18
6/1/2009,1,Adbe,28.299999
7/1/2009,1,Adbe,32.419998
8/3/2009,1,Adbe,31.42
9/1/2009,1,Adbe,33.040001
10/1/2009,1,Adbe,32.939999
11/2/2009,1,Adbe,35.080002
12/1/2009,1,Adbe,36.779999
1/4/2010,1,Adbe,32.299999
2/1/2010,1,Adbe,34.650002
3/1/2010,1,Adbe,35.369999
4/1/2010,1,Adbe,33.599998
5/3/2010,1,Adbe,32.080002
6/1/2010,1,Adbe,26.43
7/1/2010,1,Adbe,28.719999
8/2/2010,1,Adbe,27.700001
9/1/2010,1,Adbe,26.15
10/1/2010,1,Adbe,28.15
11/1/2010,1,Adbe,27.799999
12/1/2010,1,Adbe,30.780001
1/3/2011,1,Adbe,33.049999
2/1/2011,1,Adbe,34.5
3/1/2011,1,Adbe,33.16
4/1/2011,1,Adbe,33.549999
5/2/2011,1,Adbe,34.630001
6/1/2011,1,Adbe,31.450001
7/1/2011,1,Adbe,27.709999
8/1/2011,1,Adbe,25.24
9/1/2011,1,Adbe,24.17
10/3/2011,1,Adbe,29.41
11/1/2011,1,Adbe,27.42
12/1/2011,1,Adbe,28.27
1/3/2012,1,Adbe,30.950001
2/1/2012,1,Adbe,32.889999
3/1/2012,1,Adbe,34.310001
4/2/2012,1,Adbe,33.549999
5/1/2012,1,Adbe,31.049999
6/1/2012,1,Adbe,32.369999
7/2/2012,1,Adbe,30.879999
8/1/2012,1,Adbe,31.27
9/4/2012,1,Adbe,32.439999
10/1/2012,1,Adbe,34.029999
11/1/2012,1,Adbe,34.610001
12/3/2012,1,Adbe,37.68
1/2/2013,1,Adbe,37.830002
2/1/2013,1,Adbe,39.310001
3/1/2013,1,Adbe,43.52
4/1/2013,1,Adbe,45.080002
5/1/2013,1,Adbe,42.91
6/3/2013,1,Adbe,45.560001
7/1/2013,1,Adbe,47.279999
8/1/2013,1,Adbe,45.75
9/3/2013,1,Adbe,51.939999
10/1/2013,1,Adbe,54.220001
11/1/2013,1,Adbe,56.779999
12/2/2013,1,Adbe,59.880001
1/2/2014,1,Adbe,59.189999
2/3/2014,1,Adbe,68.629997
3/3/2014,1,Adbe,65.739998
4/1/2014,1,Adbe,61.689999
5/1/2014,1,Adbe,64.540001
6/2/2014,1,Adbe,72.360001
7/1/2014,1,Adbe,69.25
8/1/2014,1,Adbe,71.900002
9/2/2014,1,Adbe,69.190002
10/1/2014,1,Adbe,70.120003
11/3/2014,1,Adbe,73.68
12/1/2014,1,Adbe,72.699997
1/2/2015,1,Adbe,70.129997
2/2/2015,1,Adbe,79.099998
3/2/2015,1,Adbe,73.940002
4/1/2015,1,Adbe,76.059998
5/1/2015,1,Adbe,79.089996
6/1/2015,1,Adbe,81.010002
7/1/2015,1,Adbe,81.989998
8/3/2015,1,Adbe,78.57
9/1/2015,1,Adbe,82.220001
10/1/2015,1,Adbe,88.660004
11/2/2015,1,Adbe,91.459999
12/1/2015,1,Adbe,93.940002
1/4/2016,1,Adbe,89.129997
2/1/2016,1,Adbe,85.150002
3/1/2016,1,Adbe,93.800003
4/1/2016,1,Adbe,94.220001
5/2/2016,1,Adbe,99.470001
6/1/2016,1,Adbe,95.790001
7/1/2016,1,Adbe,97.860001
8/1/2016,1,Adbe,102.309998
9/1/2016,1,Adbe,108.540001
10/3/2016,1,Adbe,107.510002
11/1/2016,1,Adbe,102.809998
12/1/2016,1,Adbe,102.949997
1/3/2017,1,Adbe,113.82
1/3/2007,1,CVX,50.777351
2/1/2007,1,CVX,48.082939
3/1/2007,1,CVX,51.900383
4/2/2007,1,CVX,54.588032
