Date,AAPL,IBM,MSFT,NFLX,ORCL
2010-01-04,30.572856903076172,132.4499969482422,30.950000762939453,7.639999866485596,24.850000381469727
2010-01-05,30.625713348388672,130.85000610351562,30.959999084472656,7.358571529388428,24.81999969482422
2010-01-06,30.13857078552246,130.0,30.770000457763672,7.617142677307129,24.459999084472656
2010-01-07,30.082857131958008,129.5500030517578,30.450000762939453,7.485714435577393,24.3799991607666
2010-01-08,30.28285789489746,130.85000610351562,30.65999984741211,7.614285945892334,24.68000030517578
2010-01-11,30.015714645385742,129.47999572753906,30.270000457763672,7.604285717010498,24.690000534057617
2010-01-12,29.674285888671875,130.50999450683594,30.06999969482422,7.481428623199463,24.559999465942383
2010-01-13,30.092857360839844,130.22999572753906,30.350000381469727,7.708571434020996,24.799999237060547
2010-01-14,29.91857147216797,132.30999755859375,30.959999084472656,7.284285545349121,25.34000015258789
2010-01-15,29.41857147216797,131.77999877929688,30.860000610351562,7.278571605682373,25.239999771118164
2010-01-19,30.719999313354492,134.13999938964844,31.100000381469727,7.314285755157471,25.329999923706055
2010-01-20,30.247142791748047,130.25,30.59000015258789,7.320000171661377,25.059999465942383
2010-01-21,29.724285125732422,129.0,30.010000228881836,7.312857151031494,24.829999923706055
2010-01-22,28.25,125.5,28.959999084472656,7.269999980926514,24.149999618530273
2010-01-25,29.010000228881836,126.12000274658203,29.31999969482422,7.018571376800537,24.030000686645508
2010-01-26,29.420000076293945,125.75,29.5,7.135714054107666,23.8799991607666
2010-01-27,29.6971435546875,126.33000183105469,29.670000076293945,7.281428337097168,23.860000610351562
2010-01-28,28.469999313354492,123.75,29.15999984741211,9.005714416503906,23.469999313354492
2010-01-29,27.437143325805664,122.38999938964844,28.18000030517578,8.892857551574707,23.059999465942383
2010-02-01,27.818571090698242,124.66999816894531,28.40999984741211,8.718571662902832,23.219999313354492
2010-02-02,27.979999542236328,125.52999877929688,28.459999084472656,8.835714340209961,23.760000228881836
2010-02-03,28.461427688598633,125.66000366210938,28.6299991607666,8.850000381469727,23.75
2010-02-04,27.435714721679688,123.0,27.84000015258789,8.619999885559082,23.110000610351562
2010-02-05,27.9228572845459,123.5199966430664,28.020000457763672,8.691428184509277,23.549999237060547
2010-02-08,27.731428146362305,121.87999725341797,27.719999313354492,8.699999809265137,23.1200008392334
2010-02-09,28.027143478393555,123.20999908447266,28.010000228881836,8.875714302062988,23.510000228881836
2010-02-10,27.874286651611328,122.80999755859375,27.989999771118164,8.784285545349121,23.110000610351562
2010-02-11,28.381427764892578,123.7300033569336,28.1200008392334,9.05142879486084,23.350000381469727
2010-02-12,28.625713348388672,124.0,27.93000030517578,9.025713920593262,23.40999984741211
2010-02-16,29.05714225769043,125.2300033569336,28.350000381469727,9.265714645385742,23.809999465942383
2010-02-17,28.935714721679688,126.33000183105469,28.59000015258789,9.215714454650879,24.18000030517578
2010-02-18,28.989999771118164,127.80999755859375,28.969999313354492,9.442856788635254,24.520000457763672
2010-02-19,28.809999465942383,127.19000244140625,28.770000457763672,9.521428108215332,24.31999969482422
2010-02-22,28.631427764892578,126.8499984741211,28.729999542236328,9.324285507202148,24.809999465942383
2010-02-23,28.15142822265625,126.45999908447266,28.329999923706055,9.192856788635254,24.479999542236328
2010-02-24,28.665714263916016,127.58999633789062,28.6299991607666,9.24142837524414,24.770000457763672
2010-02-25,28.85714340209961,127.06999969482422,28.600000381469727,9.372857093811035,24.8700008392334
2010-02-26,29.231428146362305,127.16000366210938,28.670000076293945,9.435714721679688,24.649999618530273
2010-03-01,29.855714797973633,128.57000732421875,29.020000457763672,9.95714282989502,24.739999771118164
2010-03-02,29.83571434020996,127.41999816894531,28.459999084472656,9.85428524017334,24.579999923706055
2010-03-03,29.904285430908203,126.87999725341797,28.459999084472656,9.649999618530273,24.5
2010-03-04,30.101428985595703,126.72000122070312,28.6299991607666,9.715714454650879,24.760000228881836
2010-03-05,31.27857208251953,127.25,28.59000015258789,9.664285659790039,24.950000762939453
2010-03-08,31.297142028808594,126.41000366210938,28.6299991607666,9.811429023742676,24.700000762939453
2010-03-09,31.860000610351562,125.55000305175781,28.799999237060547,9.99142837524414,24.8799991607666
2010-03-10,32.119998931884766,125.62000274658203,28.969999313354492,10.182857513427734,24.8700008392334
2010-03-11,32.21428680419922,127.5999984741211,29.18000030517578,10.170000076293945,25.139999389648438
2010-03-12,32.371429443359375,127.94000244140625,29.270000457763672,9.997142791748047,25.049999237060547
2010-03-15,31.977142333984375,127.83000183105469,29.290000915527344,9.942856788635254,25.280000686645508
2010-03-16,32.06428527832031,128.6699981689453,29.3700008392334,10.09000015258789,25.209999084472656
2010-03-17,32.01714324951172,127.76000213623047,29.6299991607666,10.131428718566895,25.469999313354492
2010-03-18,32.092857360839844,128.3800048828125,29.610000610351562,10.077142715454102,25.3799991607666
2010-03-19,31.75,127.70999908447266,29.59000015258789,10.064285278320312,25.190000534057617
2010-03-22,32.10714340209961,127.9800033569336,29.600000381469727,10.412857055664062,25.559999465942383
2010-03-23,32.62285614013672,129.3699951171875,29.8799991607666,10.422857284545898,25.989999771118164
2010-03-24,32.76714324951172,128.52999877929688,29.649999618530273,10.338571548461914,25.760000228881836
2010-03-25,32.378570556640625,129.24000549316406,30.010000228881836,10.505714416503906,26.040000915527344
2010-03-26,32.985713958740234,129.25999450683594,29.65999984741211,10.614285469055176,25.690000534057617
2010-03-29,33.198570251464844,128.58999633789062,29.59000015258789,10.557143211364746,25.56999969482422
2010-03-30,33.69285583496094,128.77000427246094,29.770000457763672,10.722857475280762,25.540000915527344
