"State"	"Metro"	"StateCodeFIPS"	"MunicipalCodeFIPS"	"SizeRank"	"2010.01"	"2010.02"	"2010.03"	"2010.04"	"2010.05"	"2010.06"	"2010.07"	"2010.08"	"2010.09"	"2010.10"	"2010.11"	"2010.12"	"2011.01"	"2011.02"	"2011.03"	"2011.04"	"2011.05"	"2011.06"	"2011.07"	"2011.08"	"2011.09"	"2011.10"	"2011.11"	"2011.12"	"2012.01"	"2012.02"	"2012.03"	"2012.04"	"2012.05"	"2012.06"	"2012.07"	"2012.08"	"2012.09"	"2012.10"	"2012.11"	"2012.12"	"2013.01"	"2013.02"	"2013.03"	"2013.04"	"2013.05"	"2013.06"	"2013.07"	"2013.08"	"2013.09"	"2013.10"	"2013.11"	"2013.12"	"2014.01"	"2014.02"	"2014.03"	"2014.04"	"2014.05"	"2014.06"	"2014.07"	"2014.08"	"2014.09"	"2014.10"	"2014.11"	"2014.12"	"2015.01"	"2015.02"	"2015.03"	"2015.04"	"2015.05"	"2015.06"	"2015.07"	"2015.08"	"2015.09"	"2015.10"	"2015.11"	"2015.12"	"2016.01"	"2016.02"	"2016.03"	"2016.04"	"2016.05"	"2016.06"	"2016.07"	"2016.08"	"2016.09"	"2016.10"	"2016.11"	"2016.12"	"2017.01"	"2017.02"	"2017.03"	"2017.04"	"2017.05"	"2017.06"	"2017.07"	"2017.08"	"2017.09"	"2017.10"	"2017.11"	"2017.12"	"2018.01"	"2018.02"	"2018.03"	"2018.04"	"2018.05"	"2018.06"	"2018.07"	"2018.08"	"2018.09"	"2018.10"	"2018.11"	"2018.12"	"2019.01"	"2019.02"	"2019.03"	"2019.04"	"2019.05"	"2019.06"	"2019.07"	"2019.08"	"2019.09"	"2019.10"	"2019.11"	"2019.12"
"Union County"	"NC"	"Charlotte-Concord-Gastonia"	"37"	"179"	305	239900	238384	229900	229500	229900	228000	223312.5	219900	219990	214900	209990	204945	201695	199900	199900	203000	205900	201450	199900	199900	199000	195000	199000	198900	197718	199000	199990	2e+05	204949.5	209000	204900	199900	199900	199900	199900	2e+05	202700	216488	219900	229000	234172.5	234292	234900	239490	239869	242500	237070	245000	249792.5	264900	298990	305495	305000	298900	299500	289900	275000	259942.5	289993.5	289998	299000	290900	289000	295700	299900	305000	309900	3e+05	299900	325000	334990	306990	321425	341450	349000	339900	339900	351650	359900	359700	368000	364525	354715	364900	355990	362500	369900	384945	383230	378195	375000	366845	369000	362000	359900	364945	365000	371829	374900	363055	364900	357767	354990	349900	349900	345000	344945	338788	339900	339000	336990	340000	343628	343900	339900	334999	338900	335000	335000	340999
"Cabarrus County"	"NC"	"Charlotte-Concord-Gastonia"	"37"	"025"	345	179900	177500	175000	170000	169900	169900	165000	169900	169900	174000	174900	169900	174700	173445	169900	169000	170000	178450	179900	179900	169900	169900	170000	169900	169900	169900	169900	169900	165000	165000	165000	165000	167745	169900	169900	171995	173000	179900	180000	189900	189900	189900	187500	183000	180000	189298	184990	185000	186990	186137.5	199900	199900	2e+05	199900	199900	199900	194990	194990	204945	200945	210000	212250	199900	213245	219900	218700	230950	229950	220000	220000	219900	213900	235000	222500	231400	225000	229900	233945	240000	240000	249250	250000	250000	261400	240000	241990	239900	253450	256000	259000	260000	255945	255335	259900	269900	266500	279990	275000	283745	275000	274900	275900	274995	275490	284855	285400	289900	289990	288065	286990	298490	289900	291182.5	292512	290000	289900	289900	285690	280990	285990
"Onslow County"	"NC"	"Jacksonville"	"37"	"133"	348	189900	189900	189900	187900	189900	188000	186500	189000	188550	187500	187000	185700	184000	179000	180000	176000	176000	174500	173500	170000	169900	169900	169995	169900	169900	169900	169995	169900	169400	167900	166900	165000	164000	164900	159900	163900	164000	164900	167000	167500	169900	171900	170900	169900	169900	169000	172000	166400	171900	169000	169900	169000	169000	168300	166560.5	168000	169000	159900	159500	160000	159900	165000	165000	164900	160000	159900	159900	155000	158925	156000	158500	157900	159900	160000	164900	164500	159900	157250	155000	155900	154900	152900	154925	154900	153900	158900	161000	165000	165829	165900	167000	165000	166950	169500	169500	169900	170900	174900	179900	179900	179900	179900	180000	179970	180000	179900	179900	181000	185000	188745	190495	192000	192000	192000	189900	189000	189900	189900	190000	189900
"Johnston County"	"NC"	"Raleigh"	"37"	"101"	364	182713	184500	179925	179900	179900	179900	179900	174950	176998	179500	179900	179900	179900	169900	169900	169900	173600	173700	169900	169900	169900	168000	165000	164900	164400	164900	167900	168650	165900	169900	167850	168900	164900	159900	159900	159900	162250	167000	169700	172900	172000	173400	169900	169900	174900	179900	179950	187400	189900	189900	195000	189900	190000	189995	189900	189900	192900	191950	193900	193900	193900	194900	193900	195000	199900	199900	199900	199825	198000	204900	209250	209900	205750	206000	209700	209900	214900	214900	214900	219900	219900	220000	222700	222900	224900	225750	231900	229900	234800	235990	235695	235000	239900	244900	249900	258376	261374.5	259900	256272	258756	257188	255900	256900	259000	259900	259900	259900	259999.5	259990	261550	257900	259945	259900	260000	259995	259900	259999	259900	256350	258999
"Pitt County"	"NC"	"Greenville"	"37"	"147"	366	149900	150000	149900	148900	149900	149900	147250	147900	143900	143700	142000	139900	139900	139900	139000	139350	139900	139900	139900	139900	137700	135000	134900	129900	129175	129900	134900	129950	134500	135000	132900	130000	128700	128600	128900	127900	128600	128800	129900	130000	135320	134950	132900	134900	134900	134000	132500	130000	133950	134900	138700	139900	140000	140000	139900	139900	139900	139900	137900	138900	138000	138500	139900	135000	139900	139900	139900	144250	143950	143250	142500	139900	143950	147900	142900	144900	149900	150250	154900	154900	149999.5	154500	153160	154900	159000	159900	159900	164900	165000	167500	169000	165000	169000	169625	170000	166950	170000	172600	172500	179900	179900	179900	182500	184900	187500	185000	185000	184950	185350	179900	187000	197950	195000	189900	185000	186900	189900	189997.5	192900	195000
"Davidson County"	"NC"	"Winston-Salem"	"37"	"057"	376	158990	157000	154900	152700	155500	154700	149900	149900	149900	145000	149900	145000	140000	139900	139900	138900	139900	139900	138700	139500	139900	139000	136400	134900	132500	134900	139900	144650	138250	139900	144700	135900	133850	129900	139900	135000	139700	139900	139900	139900	139900	139995	142900	144900	144900	144900	142250	139900	139900	144900	149900	158000	162000	162499	162499.5	159900	159900	155000	154900	154900	152250	157190	150000	157500	165000	166400	169900	169250	159650	159900	169900	167495	167990	159900	161900	165990	168243.5	169900	167700	166990	166485	164900	162500	164450	168000	169500	170000	179900	183900	187000	185000	180000	179900	181257.5	184900	180000	179764	179900	181500	188750	182500	189900	185000	185450	180000	181550	179700	183990	181600	180000	186990	194900	191275	189000	198990	198945	197500	194500	188500	180495
"Iredell County"	"NC"	"Charlotte-Concord-Gastonia"	"37"	"097"	389	228500	225000	224900	225000	224400	224999	224900	220000	208152.5	210000	2e+05	198982.5	198995	199900	199500	199900	199900	199900	199900	199000	196000	199000	195000	189900	189900	190000	190000	194700	189900	189900	189900	194500	189900	194500	189900	190000	190000	209200	215000	219000	220000	220000	225000	221040	225000	225000	215000	218995	207990	208400	215000	219000	227900	230000	234900	239000	239900	234750	235000	235000	230000	230000	235000	240000	245000	249900	259000	259900	250000	259900	250000	238990	240000	255000	270000	279000	279900	279990	279900	275000	279990	285000	278155	284786.5	282990	289000	291750	304900	304445	299900	292990	284900	289000	287500	285000	288995	289810	284949.5	289900	289945	295342.5	290450	295000	293320	294900	297000	291197.5	287990	290675	289900	293465.5	297700	306249.5	301903	3e+05	306745	301427.5	3e+05	299900	309998
"Catawba County"	"NC"	"Hickory-Lenoir-Morganton"	"37"	"035"	404	195900	192200	194500	194500	179900	176450	179900	174900	175000	170000	169900	169900	169500	169900	169900	169900	169900	169500	165000	164900	165000	164500	162900	162950	160000	160000	164900	162900	160200	159000	159900	159000	159000	149900	150000	150000	149000	147450	149900	154900	154950	159900	159900	155000	148000	149500	145000	144200	139900	139950	149000	159900	159900	159900	159900	159500	159900	159000	150000	149900	149000	149000	159000	162700	174900	169900	174900	174900	174950	175000	180000	174900	174200	184900	189900	189900	189900	185900	185900	189450	189900	183900	179900	178900	179900	179900	189450	207000	207000	214900	225000	229250	229250	224950	229900	235995	235000	220000	218750	220000	231250	239000	235000	229900	229900	230000	237900	241990	230000	239500	249990	254900	250000	250000	244900	239900	239250	229900	237450	239900
"Alamance County"	"NC"	"Burlington"	"37"	"001"	412	149900	149900	149900	149900	149900	148430	144900	144900	144900	149900	144900	142650	139900	138500	137950	139000	139900	141500	140000	143000	137677.5	139000	135000	132000	134950	131900	131000	129900	130000	130000	129900	135000	134900	132700	132700	134900	134500	135900	134900	135000	137000	135000	138900	140000	142000	138400	139500	137272.5	139900	139900	139900	146250	148750	149450	148750	150000	149900	149900	149900	145000	144500	148000	149900	154900	155600	159900	159000	164900	163000	159990	160000	162745	163500	157995	159900	159990	164245	165990	169900	169900	169900	169900	175000	174900	175000	175000	180900	183900	171495	181990	179900	179900	184900	189900	195995	199000	198000	199900	199900	2e+05	194990	197945	198500	199000	205000	199900	199900	209950	209885	218900	221990	224000	225000	224500	220000	220000	215995	215000	215000	214900
"Randolph County"	"NC"	"Greensboro-High Point"	"37"	"151"	434	139900	139900	139900	139900	145000	142900	144900	143000	139900	143700	147900	145000	143250	139900	139900	141500	144900	142000	142950	141900	147500	144900	143500	142500	139900	139000	139500	139000	137700	139900	139000	137500	135000	136700	134900	135000	139900	139900	141900	143900	149900	149900	145000	144900	149200	144900	144900	142500	139990	143900	141950	140000	139900	139900	143900	144900	144900	143000	139945	143900	144900	140900	143100	147600	149900	149500	142900	139900	144900	144650	149900	145900	145000	147245	149925	154400	150990	154900	154900	149900	149900	154900	149900	149900	149900	154500	149900	154400	159450	157500	155450	154900	154900	154950	156200	157750	157900	159900	162450	173300	166400	165375	163990	160000	164490	159950	165000	164900	167500	164900	164950	169950	169900	172900	174900	179900	184900	184900	179900	179900
