,RegionName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08
48,Mecklenburg County,NC,Charlotte-Concord-Gastonia,37,119,49,189900.0,194500.0,190000.0,193900.0,190000.0,190000.0,189350.0,189900.0,185381.0,185000.0,184900.0,177897.5,174997.5,175000.0,175000.0,179000.0,179900.0,179900.0,179000.0,178969.5,175000.0,175000.0,174900.0,173990.0,174900.0,177930.0,182315.0,184900.0,184900.0,184900.0,179900.0,184945.0,182000.0,184900.0,182400.0,185000.0,188250.0,199400.0,205999.0,211990.0,214467.0,214000.0,210000.0,209971.0,209900.0,209000.0,205000.0,200000.0,198990.0,200000.0,215000.0,220990.0,224500.0,224500.0,222000.0,219900.0,219900.0,219900.0,219990.0,219990.0,225000.0,230000.0,233000.0,242990.0,249925.0,250000.0,251999.0,250000.0,249000.0,253450.0,254900.0,250000.0,264400.0,274900.0,279900.0,285900.0,289900.0,289000.0,289900.0,281990.0,284500.0,285900.0,285000.0,289900.0,287500.0,285000.0,294500.0,300000.0,304900.0,305000.0,299000.0,295005.0,299900.0,300000.0,300000.0,306195.0,310209.0,320000.0,325000.0,319900.0,317990.0,318000.0,315000.0,312200.0,315000.0,315000.0,314885.0,312990.0,312000.0,318888.0,317995.0,324900.0,321156.5,320000.0,318600.0,314900.0
55,Wake County,NC,Raleigh,37,183,56,248000.0,245000.0,239900.0,239999.0,244900.0,239900.0,234994.5,234962.5,234900.0,234900.0,234900.0,229995.0,229000.0,227500.0,225000.0,229900.0,230000.0,230000.0,229995.0,230000.0,229900.0,232900.0,230000.0,229900.0,229900.0,230950.0,235000.0,235000.0,235000.0,234900.0,230000.0,231900.0,229990.0,232500.0,232250.0,234000.0,234900.0,239900.0,247990.0,249990.0,254990.0,260000.0,259907.0,259932.5,259900.0,264900.0,259900.0,259900.0,264900.0,269900.0,270990.0,269900.0,274845.0,270041.5,270990.0,274900.0,275585.0,276990.0,275000.0,272700.0,273850.0,275000.0,280000.0,290000.0,300000.0,302990.0,300000.0,305000.0,299999.0,304995.0,308945.0,302945.0,309900.0,309900.0,314795.0,315000.0,319000.0,315900.0,318990.0,320000.0,322350.0,324900.0,325000.0,325000.0,325000.0,334700.0,339000.0,347990.0,349440.0,343495.0,341647.0,344400.0,345000.0,349900.0,349900.0,349999.0,354900.0,354005.0,355990.0,357990.0,360000.0,364990.0,359240.5,350000.0,353000.0,350000.0,349900.0,349900.0,345000.0,345000.0,349000.0,353250.0,350000.0,350000.0,350000.0,350000.0
134,Guilford County,NC,Greensboro-High Point,37,081,135,159900.0,159900.0,159900.0,159900.0,159900.0,159000.0,155000.0,154250.0,152000.0,153500.0,153500.0,149900.0,149500.0,145000.0,144900.0,145000.0,149900.0,150000.0,149900.0,149900.0,149900.0,149900.0,147900.0,144900.0,139900.0,140000.0,146700.0,149900.0,150000.0,149900.0,145000.0,142719.0,139000.0,140000.0,139900.0,139000.0,139900.0,144200.0,145000.0,149900.0,149900.0,153480.0,152000.0,149900.0,149900.0,149900.0,149000.0,145000.0,149900.0,149900.0,155000.0,159900.0,165000.0,162900.0,165000.0,164900.0,159900.0,157500.0,159900.0,157900.0,162695.0,163900.0,162230.0,169500.0,179900.0,179900.0,178000.0,174500.0,173500.0,169900.0,169990.0,169900.0,169900.0,164000.0,170000.0,179900.0,180000.0,182500.0,179900.0,179900.0,177900.0,180000.0,179900.0,179900.0,179093.0,175000.0,179900.0,189900.0,189900.0,190705.0,189900.0,185990.0,184900.0,182700.0,179900.0,179900.0,178990.0,179900.0,185900.0,190200.0,192500.0,193900.0,189900.0,189900.0,189995.0,189900.0,189900.0,190700.0,194775.0,196000.0,207990.0,212900.0,214000.0,214000.0,214400.0,207400.0
183,Forsyth County,NC,Winston-Salem,37,067,184,154900.0,156900.0,159900.0,159900.0,158377.0,155900.0,154900.0,151200.0,149900.0,149900.0,149490.0,145000.0,144900.0,145000.0,145000.0,145900.0,147900.0,146990.0,147900.0,145990.0,144900.0,141000.0,140000.0,139900.0,138900.0,139900.0,144900.0,149900.0,149900.0,144900.0,146950.0,144900.0,144900.0,144900.0,146900.0,144900.0,143900.0,144900.0,145000.0,149000.0,149900.0,149900.0,149250.0,149900.0,150000.0,149900.0,149900.0,147500.0,149900.0,155000.0,157900.0,159900.0,159900.0,159900.0,157900.0,154700.0,150000.0,149994.5,150000.0,149945.0,154900.0,155000.0,154900.0,155000.0,161900.0,160000.0,159900.0,159900.0,158000.0,155600.0,159900.0,159900.0,159990.0,157945.0,162900.0,168000.0,169900.0,169900.0,169900.0,169900.0,169500.0,169000.0,169900.0,171945.0,169925.0,175000.0,179900.0,182900.0,186500.0,188400.0,185000.0,185000.0,186845.0,184900.0,184900.0,188500.0,185000.0,189000.0,189915.0,195000.0,190000.0,190000.0,195542.0,195000.0,198000.0,194945.0,195900.0,197000.0,197700.0,200950.0,215000.0,224900.0,219900.0,225000.0,227700.0,220000.0
198,Cumberland County,NC,Fayetteville,37,051,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149500.0,148950.0,149900.0,149000.0,149900.0,146500.0,144650.0,139900.0,139900.0,142000.0,139900.0,145000.0,149950.0,144900.0,148900.0,150000.0,149900.0,144700.0,142500.0,145000.0,139900.0,139200.0,139900.0,139900.0,139900.0,144900.0,146700.0,144000.0,149000.0,145900.0,144000.0,139900.0,135000.0,133950.0,135000.0,138900.0,139900.0,144900.0,146500.0,143625.0,149900.0,148950.0,149000.0,146000.0,146500.0,147000.0,146900.0,147000.0,148000.0,149000.0,154950.0,154950.0,154750.0,150000.0,149900.0,149999.0,150000.0,150000.0,150000.0,155000.0,162950.0,165000.0,172000.0,169500.0,169000.0,168000.0,169000.0
243,Durham County,NC,Durham-Chapel Hill,37,063,244,178440.0,179900.0,185000.0,184900.0,182000.0,179900.0,179400.0,178900.0,175000.0,174900.0,175450.0,174900.0,174900.0,174900.0,174900.0,174970.0,174900.0,175935.0,174900.0,175000.0,170990.0,174900.0,174990.0,169900.0,169500.0,175000.0,179000.0,178500.0,175874.5,174500.0,169990.0,173700.0,171900.0,174000.0,173900.0,175000.0,175000.0,179900.0,180994.5,183250.0,184900.0,185000.0,185000.0,182500.0,184900.0,186990.0,185000.0,184900.0,180999.0,187535.0,189900.0,187900.0,189900.0,189900.0,193567.5,190000.0,199000.0,199900.0,199900.0,199522.5,200000.0,200000.0,199900.0,206949.5,211950.0,215000.0,219900.0,221570.0,225000.0,227000.0,226900.0,229380.0,229900.0,224320.0,230000.0,235700.0,236000.0,240000.0,240495.0,244000.0,240000.0,239900.0,244900.0,249900.0,250000.0,249999.5,260000.0,259900.0,263240.5,263000.0,265742.5,264650.0,268900.0,274900.0,279900.0,287990.0,290000.0,294292.5,292000.0,286000.0,289865.0,286000.0,285000.0,287892.5,288995.0,295000.0,298990.0,299950.0,298750.0,300000.0,295000.0,295000.0,295000.0,298000.0,291650.0,289900.0
268,Buncombe County,NC,Asheville,37,021,269,262450.0,250000.0,249500.0,248750.0,249900.0,249900.0,249900.0,249000.0,247000.0,246000.0,246900.0,244900.0,239000.0,239000.0,239500.0,239700.0,250000.0,250000.0,249900.0,249900.0,249900.0,249900.0,244950.0,240000.0,257000.0,259900.0,259000.0,250000.0,254950.0,258450.0,249900.0,245000.0,239000.0,239900.0,239000.0,239000.0,239900.0,239000.0,239900.0,247000.0,249900.0,249900.0,249900.0,245000.0,249900.0,249900.0,249900.0,250000.0,249000.0,250000.0,259000.0,265000.0,265000.0,272000.0,265000.0,265000.0,269900.0,273683.0,275000.0,275000.0,275000.0,278900.0,275000.0,284500.0,284950.0,289000.0,289900.0,289900.0,293500.0,299000.0,299900.0,299600.0,300000.0,300000.0,319000.0,319950.0,335000.0,335000.0,339055.5,339000.0,334450.0,339000.0,339000.0,338000.0,334900.0,339900.0,349947.5,355000.0,350000.0,360000.0,369000.0,369000.0,374900.0,369900.0,369900.0,375000.0,375000.0,369900.0,375000.0,379000.0,375000.0,375000.0,375000.0,373468.0,369900.0,365900.0,368000.0,365000.0,359000.0,360000.0,369000.0,374900.0,379900.0,375000.0,380000.0,375000.0
298,Gaston County,NC,Charlotte-Concord-Gastonia,37,071,299,139900.0,139000.0,138900.0,139500.0,139000.0,135900.0,135000.0,134900.0,135000.0,134900.0,134900.0,132500.0,130000.0,129900.0,126650.0,125000.0,125000.0,127000.0,128500.0,129000.0,126900.0,125000.0,129900.0,128900.0,125000.0,124900.0,124900.0,120000.0,124900.0,121700.0,120000.0,121500.0,119000.0,114900.0,114900.0,114900.0,115000.0,124000.0,129000.0,134500.0,135000.0,137500.0,134900.0,134900.0,135000.0,139888.0,135450.0,134900.0,132950.0,134949.5,138500.0,139900.0,142744.0,145000.0,145000.0,147900.0,148900.0,146900.0,150000.0,148900.0,149000.0,149500.0,149120.0,149000.0,149000.0,150000.0,150000.0,154900.0,149900.0,148370.0,154945.0,149990.0,159900.0,150740.0,149900.0,154900.0,160990.0,164700.0,169900.0,163699.5,159900.0,169900.0,164900.0,169900.0,165000.0,169945.0,174900.0,188500.0,195000.0,200000.0,199950.0,195000.0,194400.0,196150.0,198900.0,195900.0,203650.0,200400.0,210000.0,205900.0,204900.0,210000.0,204900.0,204900.0,204900.0,207000.0,204900.0,201840.0,202450.0,209000.0,210000.0,224500.0,223745.0,230000.0,222000.0,229900.0
303,New Hanover County,NC,Wilmington,37,129,304,260000.0,250000.0,251500.0,250000.0,250000.0,249900.0,249000.0,244500.0,239000.0,234900.0,229900.0,227900.0,225900.0,224000.0,224900.0,224900.0,224900.0,225000.0,224500.0,224500.0,223650.0,225000.0,224500.0,219900.0,222500.0,223500.0,225000.0,225000.0,228250.0,229250.0,225000.0,229000.0,225000.0,224900.0,222325.0,220400.0,219900.0,229000.0,235000.0,244000.0,241900.0,249000.0,249900.0,249000.0,250000.0,244900.0,245900.0,247115.0,244000.0,245000.0,249900.0,253400.0,250000.0,239000.0,235000.0,234900.0,230000.0,230000.0,230000.0,230000.0,229270.0,233000.0,234500.0,239900.0,243000.0,247875.0,249900.0,245000.0,251242.5,249950.0,250000.0,272000.0,268700.0,266337.5,269000.0,275000.0,279000.0,279000.0,279900.0,282250.0,284450.0,288196.0,288431.0,289200.0,289900.0,289000.0,292995.0,299000.0,299900.0,299900.0,299900.0,300000.0,302900.0,299900.0,299000.0,299900.0,299900.0,299900.0,299000.0,299900.0,300000.0,299950.0,299500.0,295000.0,299900.0,297995.0,299900.0,309900.0,312999.0,312025.0,308900.0,311950.0,309900.0,305000.0,304900.0,314000.0
304,Union County,NC,Charlotte-Concord-Gastonia,37,179,305,239900.0,238384.0,229900.0,229500.0,229895.0,226500.0,222400.0,219900.0,219900.0,213990.0,209990.0,204900.0,200745.0,199900.0,199900.0,202990.0,205450.0,201900.0,199900.0,199900.0,199000.0,195000.0,199000.0,198900.0,197493.0,199250.0,199990.0,199999.5,204949.5,209000.0,204900.0,199900.0,199900.0,199830.0,199900.0,200000.0,201900.0,216000.0,219900.0,228620.0,232000.0,232500.0,234900.0,239000.0,239166.0,242000.0,236900.0,244900.0,249000.0,264500.0,297990.0,300000.0,304000.0,296450.0,297250.0,289000.0,274900.0,259900.0,289900.0,289900.0,298950.0,290000.0,287700.0,295000.0,299900.0,305000.0,309900.0,300000.0,299900.0,325000.0,334990.0,306990.0,321450.0,340000.0,349000.0,339900.0,339900.0,352900.0,359900.0,359900.0,368500.0,364712.5,354900.0,364900.0,355495.0,361950.0,369900.0,384900.0,382900.0,378000.0,375000.0,366700.0,369000.0,362000.0,359907.5,365000.0,365827.0,370990.0,372282.0,359900.0,360000.0,351990.0,350000.0,348500.0,345999.0,342357.0,339999.0,334995.0,335000.0,330895.0,330000.0,339000.0,339900.0,339900.0,339000.0,332500.0
