,RegionName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08
48,Mecklenburg County,NC,Charlotte-Concord-Gastonia,37,119,49,102.245862884161,103.129161118509,102.73999763871,102.888446215139,101.933333333333,101.764705882353,100.797989571574,98.4268250587783,98.0036792744879,96.2765156678174,95.4545454545455,93.7341579684318,92.8571428571429,92.5925925925926,93.1433462805277,93.4783106422994,93.5420743639922,93.1414055884843,93.2835820895522,92.9587727369241,92.3784639218532,92.0485094551548,91.0301331464611,90.7644222399543,90.8333333333333,92.0227184716665,93.7396580253723,94.3336498892054,94.2946990116801,94.2327497425335,93.0460333006856,93.9597315436242,93.5162094763092,93.6656671664168,93.0521091811414,93.5948759007206,93.8760233918129,98.0819529206626,100.671140939597,103.038477408706,103.075253256151,102.835628227194,101.37791338249,101.164296618441,101.362432543244,101.406799531067,100.452261306533,99.3138317081979,97.5158562367865,98.9235287409825,101.834239130435,103.372128712633,103.808424697057,104.072398190045,103.808424697057,104.321907600596,104.748603351955,105.131051495529,103.783796541434,102.871284862604,103.808424697057,105.991515426914,108.111031002163,111.332779109633,113.426626323752,112.757731958763,113.158165475417,113.321709210615,112.150577711517,114.461407972858,114.37908496732,113.277133825079,117.069903199141,121.577484364142,124.393624393624,125.93081134893,127.040850326536,127.131448305633,126.238414829019,125.060155978907,125.868055555556,126.424453170266,125.443141532588,125.379229871645,125.805703694687,127.388535031847,129.293708992667,132.834607894108,133.479899497487,132.374740721495,131.458727998275,130.837244511734,133.08223477715,135.195035460993,134.835879637419,134.664540914265,136.636090762343,139.249790444258,140.637148735596,142.307692307692,142.689601250977,142.977291841884,142.257938063504,142.221084953941,143.827160493827,143.932267168391,145.094223142626,145.933636228214,146.194027815484,147.681818181818,149.405695611578,150.95393967943,149.270937955769,149.605086701597,149.461722488038,148.847692565911
55,Wake County,NC,Raleigh,37,183,56,116.579265832997,116.021671826625,115.858798735511,115.749879479776,115.51724137931,114.978267571933,113.973799126638,113.681783243659,113.246409301956,112.745098039216,112.373067010309,111.616766467066,110.403497338348,109.73559466433,109.617420407392,110.257266956231,110.524551996614,109.931962982737,109.841917389087,109.817945383615,109.485576575625,109.225700164745,108.851120297363,108.465991316932,108.373493975904,108.44838921762,109.457092819615,109.424669682811,109.260599238892,109.163696899731,108.074981975487,107.553682051491,107.55258126195,107.512038523274,107.459677419355,106.915878406407,106.988862705291,108.910698462842,110.800714863585,111.772805507745,112.359550561798,113.308373042886,113.084682771436,113.733518764504,113.064798138483,113.327915481512,112.581740519474,111.705882352941,112.27567403817,113.943778627791,114.621603449024,115.462370913825,116.478245974649,116.520705292157,116.622774653888,117.587939698492,117.685920577617,117.877094972067,117.209285110437,116.903633491311,117.295504225501,118.082114735658,119.512750455373,122.396030245747,123.66034624897,124.339121408632,124.673060156931,125.442099258414,124.910714285714,125.261834939254,125.569975447212,125.0,125.649016221932,127.113402061856,128.911538926499,130.324154757755,131.298035866781,131.35593220339,132.002575660013,132.496513249651,132.640424590889,132.791441436532,133.173205230851,133.672525439408,133.903133903134,135.436795078268,136.504324078289,138.471452754694,139.343285321686,138.358974358974,137.857796067673,138.081945036686,138.484406184688,139.251915277152,139.49983714416,139.62468422952,140.780759846636,141.521739130435,143.101148340755,144.346829640947,145.495311863025,146.121336631339,145.699143905422,144.712060254491,145.161290322581,145.392749244713,145.418181818182,145.457589285714,145.884804850322,146.371737746658,147.112493633703,148.541679515858,149.354605049844,149.427134798468,149.858297479941,149.989475830038
134,Guilford County,NC,Greensboro-High Point,37,081,135,92.4978184991274,92.8466299862448,93.4873949579832,92.3744522779143,92.5751312335958,92.2779922779923,91.743119266055,91.6498314926713,91.1447137431929,90.3846153846154,90.2777777777778,88.9630618602581,88.2872928176796,86.9130434782609,86.8815046440708,87.3860182370821,88.3535654779407,88.2266372332598,87.3935368230265,87.2613866396761,86.9777158774373,86.6121614716403,86.1230500915998,85.3658536585366,85.0,85.0,85.3889943074004,86.5616797900262,86.8605505444291,85.7680715382621,84.6102150537634,84.5932325413967,83.4735071488646,83.9664134346261,82.2368421052632,82.2570694087404,83.1385642737897,84.6846846846847,86.4408195991822,87.3165618448637,88.0893148450245,89.0366818253235,88.3425414364641,87.3270211216315,87.4665896893108,86.721940826699,86.3600118921949,85.9503843466108,86.7988175969397,87.4580625193439,88.6120996441281,89.4951140065147,90.4204364023417,90.3465346534653,90.587044534413,90.4793945420396,89.7057483742153,88.7872970238039,89.4100580270793,89.1838051867173,89.2857142857143,89.4506477483035,90.4704463208685,91.7371927079629,93.7951762268116,94.0966921119593,93.3986388035953,92.1843778383288,92.1919957688016,92.4878873417101,92.3235635591127,92.1844142890102,91.6262445749298,92.3819860078549,94.6072993231934,96.0474754222077,96.9934327106382,97.3616170064116,96.9564025471864,95.8534109064096,95.4999061158798,96.2895502136894,95.4934315421892,95.2079864480416,95.6021139752659,95.1436925647452,96.4931870150317,99.9230769230769,100.21252164294,100.398077244415,100.792253521127,100.620106263982,100.365074536051,100.801819006921,100.459242250287,100.471327572663,100.238095238095,101.351808043258,103.84478510813,105.202991077899,103.694872061577,105.501330967169,105.624769737602,105.753968253968,105.819444444444,105.352385565512,104.838799932144,105.289108023308,105.126300148588,107.274555816292,108.414360508601,109.375,108.840304182509,108.695652173913,108.70062965083,107.928172343397
182,Forsyth County,NC,Winston-Salem,37,067,183,97.0856032568468,97.5292587776333,98.072880168185,97.8358036944027,97.6657263751763,97.3347001537673,96.686839056584,96.0419091967404,94.6750902527076,94.2313025299714,93.9047619047619,92.1113075126184,91.3384846038519,91.9529348120097,91.8858093690426,92.3857074919828,92.4873737373737,91.4404307584331,90.9708269641399,91.5894511760513,91.5071770334928,89.4547737016833,88.2039954580938,87.0287928396212,86.8243243243243,88.0370518222037,90.3469911217367,91.3627320954907,90.9847998463934,89.2165178571429,89.2857142857143,89.2361551050575,88.860831532763,88.8627847498959,89.1200951248514,88.8308987867177,88.5298070578886,88.8702585490267,90.0,90.8333333333333,91.25,90.5024919666863,89.6965865992415,90.6904417960756,91.1007775219894,90.3023907101156,89.4972541070545,89.7119231022193,89.8173105720276,92.0757967269595,93.5294117647059,95.0168918918919,94.9221762838335,94.3759630200308,93.1010693342532,91.5492957746479,91.4932680538556,90.6019270042415,90.8909090909091,90.1244525322312,91.3661757237176,92.2043010752688,92.0500191741988,92.5209435626102,94.9,94.03178722024,93.7921077959576,93.0680359435173,90.1916700089819,91.8433931484502,92.2821270310192,90.03003003003,90.6902086677368,94.0673705379588,95.4245481752673,97.4813432835821,98.0,98.813056379822,98.4996738421396,97.4009073148117,97.2160848431286,97.3686876937677,95.7731407169609,97.1957040572792,95.6855791962175,98.1851230425056,98.6551582408549,102.757009345794,103.588516746411,103.686020216837,102.420003495556,101.834109444397,101.862980769231,102.087506589352,102.204585537919,102.873701273338,101.044626105602,101.600985221675,105.022980958634,106.19295958279,105.747877204442,105.998168360638,106.304176516942,107.147962830593,107.982829306359,107.32788798133,107.26104653465,107.089908696083,106.637565284814,108.83064516129,110.211397058824,112.837574300407,114.021336310157,115.320512820513,114.980289093298,115.0
197,Cumberland County,NC,Fayetteville,37,051,198,91.2670007158196,91.3602143483032,91.6896551724138,91.796875,91.9540229885057,91.7910447761194,91.8272118272118,92.7201180521397,91.8325676365493,91.471048513302,91.9181585677749,90.7384615384615,90.1060070671378,90.941512125535,90.576395242452,91.0057052527525,91.2548286727577,90.6372850946404,90.2350091418323,90.0156005315862,89.4696387394312,89.7032374100719,89.0456757248708,87.9926108374384,88.0999020568071,87.5729774812344,89.1173950299914,88.2487043401522,88.3458646616541,87.5251509054326,87.294965582283,86.8506493506493,85.618479880775,86.643598615917,85.0137491135688,85.5170660844271,85.2088167053364,84.9242437390444,85.0280777836711,85.6782652546647,85.5308908571847,85.1050286441757,84.9325337331334,84.9383538820393,83.7219777632913,83.3333333333333,83.4101372729236,85.7175923328716,83.3333333333333,82.8230386606011,83.2333191469239,83.375156838143,83.056133056133,83.3611342785655,82.6401559069309,82.4815189000049,81.9672131147541,81.520652173913,81.1139800811509,81.2254325066491,81.7917572498724,82.4069988137604,82.4175824175824,83.3950346029227,84.1165413533835,84.3694493783304,83.6495535714286,83.3178869323448,83.9344070961718,83.5105407966683,83.3765147973078,83.5432333186661,83.6010709504685,83.4097158570119,83.9033354379565,84.8179705654531,84.6689895470383,85.3242320819113,85.1554695304695,84.7414234511009,83.8479804583924,82.8376977232783,82.2122571001495,82.3871132165987,83.5694221508828,84.3871308016878,85.3375684347999,85.7843137254902,85.4644779095046,86.2752525252525,85.9766624040921,85.6583455702398,85.1461038961039,85.2156809063085,85.632447958727,85.8172383972326,85.6034482758621,85.8437979294478,85.6034482758621,86.6025166543301,86.3821138211382,86.7450344548034,86.8925546143558,86.9595694957322,87.1764299473456,86.9381764813796,87.0035899255865,87.0831127580731,87.9332419336119,88.8751510117789,89.736354691208,91.2746457338738,91.2629070691025,91.3681976258476,91.3732656600441,91.2951167728238
242,Durham County,NC,Durham-Chapel Hill,37,063,243,106.045691635597,106.28549900973,107.447202667655,107.500045775599,106.366023229027,106.186148221546,105.616302186879,104.632474510885,103.935868660135,103.149606299213,102.607986960065,101.633081068798,101.156069364162,101.078409346214,101.862390067253,102.000772019334,101.856776989756,100.750361816132,100.199706337595,99.9065217391304,99.0091463414634,97.5442564683822,96.8072660383828,95.9020791415158,95.5994897959184,97.391076034472,99.8263888888889,99.7389264866252,98.7006237006237,96.7537493952588,96.5023335506184,96.3047773587329,95.5060770304673,95.2701453237121,95.5504777731616,95.0428061416692,96.4016352004512,98.7699223354124,101.894483182937,102.310993727303,101.749363867684,101.749363867684,101.466260781329,101.67611585056,101.521671889273,101.935146443515,101.99644454556,102.184637068358,102.335164835165,104.162618214795,105.747126436782,106.29944190037,106.401588307482,104.762585423624,106.106044468113,105.263157894737,105.962882493337,106.6,106.597055057618,107.009859795768,108.753220642614,109.392095185996,110.657289305139,111.668217672605,111.856758046918,111.818844863705,111.393159539287,112.602148012955,112.589559877175,113.630031532168,113.959625736592,113.3069828722,113.892405063291,114.988643483709,115.98347632666,117.983109786388,119.506726457399,120.827456511519,121.109295184752,120.192307692308,119.844199424736,119.923811083217,120.667989417989,120.784974161138,122.607655502392,124.638330813181,126.462116018021,126.432510373488,127.278603749192,128.963256109538,130.138935785121,130.043156834247,130.769230769231,133.836131079841,134.745762711864,135.969387755102,136.270924269529,138.635356668144,140.452876376989,141.411771123111,142.365884194053,141.879955247917,141.377708978328,141.653777448625,143.563829787234,144.642857142857,145.770272380558,147.727272727273,149.304377332881,150.021616057643,148.710317460317,148.104059123861,148.226669737985,151.227609288266,152.009596092195,152.409512195122
266,Buncombe County,NC,Asheville,37,021,267,153.769230769231,151.923076923077,150.80971659919,150.45651531567,151.217948717949,151.190369707812,151.610169491525,148.351648351648,145.454545454545,146.401629332686,144.739704591428,143.346229347719,141.098039215686,140.547873280751,140.821256038647,140.30612244898,141.740083868734,140.804597701149,140.543115769414,140.89121887287,140.868144647703,140.07711645604,139.428138326226,138.480392156863,137.543103448276,139.293404791538,139.308329327116,140.113676548924,139.344262295082,140.563351167315,140.370006844318,138.814814814815,138.888888888889,138.492063492063,138.320177981587,137.5,137.267369813128,136.941702886783,137.871950619713,139.39566704675,140.499194847021,142.123558224048,141.975308641975,141.976009901789,141.013384321224,140.273311897106,140.722502843268,140.242165242165,139.141778331656,140.17844319977,140.744673193205,142.755102040816,145.441637928201,148.373291611063,147.593097184378,148.210367946267,148.914246878665,148.710317460317,149.896265560166,149.113044958921,150.647321428571,151.215805471125,151.877754081047,153.961267605634,155.776880916114,157.55361846231,158.143858092703,159.040404040404,159.696667786861,162.629757785467,163.12551271534,164.287365719069,165.279205207263,166.049382716049,168.000470773358,170.390767114779,172.839152489908,173.423843359333,175.157175058389,176.334207854037,175.236878287901,176.282051282051,177.662082047825,179.749804534793,179.80978904825,181.107660455487,183.43253968254,185.106414234006,187.246963562753,189.315352697095,190.491085392556,189.52380952381,192.955112219451,196.99064322258,196.220930232558,198.430295991272,200.367449100903,200.972762645914,204.828660436137,208.251508527244,209.381994003632,210.698689956332,211.283497884344,209.860856323579,211.036772874427,210.148641722194,209.727626459144,209.589494038809,209.565263882174,209.835164835165,210.656340355225,211.807226430965,213.675213675214,210.477941176471,210.889570552147,211.267605633803
294,Gaston County,NC,Charlotte-Concord-Gastonia,37,071,295,83.6860670194004,84.0391314893007,84.7619047619048,84.888994447818,84.4924812030075,84.1062653562654,83.8010313708638,83.3333333333333,83.0649350649351,82.2368421052632,81.6380468573782,81.1224489795918,79.5727446450472,78.7981859410431,78.1804733727811,77.309889676911,77.5860478600042,77.4945868663328,77.209797657082,77.5193798449612,76.4365409846599,76.4630225080386,76.9370464067781,76.044776119403,75.3968253968254,75.7805530776093,75.9284789238418,76.1324704986677,76.8698107448107,76.1706090067891,75.398022456846,76.5108783239323,76.4088648907986,76.8429487179487,76.8589743589744,76.0474860335195,75.7901390644754,78.3116993941361,79.6212324954499,81.8965517241379,82.8775267538644,83.1297564687976,81.8175160607413,81.8214098335134,81.2232677502139,82.1083460767927,80.5875576036866,79.8801134907477,79.0214477211796,77.4210549368379,78.525641025641,79.9573560767591,81.3533389654327,82.9501915708812,83.1758034026465,83.7323943661972,83.8547598709188,83.8741939505207,84.4261545890387,83.7323943661972,83.335709194583,84.750566893424,84.604385128694,84.8053685778392,84.7381546134663,85.3645507608922,86.6164739884393,86.5777078085642,84.1750841750842,84.1894797455033,85.7992041786113,83.3962147173173,86.8397880672882,87.2815533980583,86.9226154769046,89.5470383275261,91.7010850542527,93.4385230234579,93.9129871339722,92.4658607467324,91.5992812219227,94.4529106979579,92.6069203354236,94.4264943457189,90.8430232558139,91.1339165545087,92.588813303099,98.3643937131009,99.3939009615481,100.0,101.193888052581,101.370706740123,100.983946141895,102.816901408451,101.436265709156,101.083815028902,102.757009345794,104.133064516129,106.387111975616,106.55737704918,108.528395229059,109.071623350465,109.517104029439,110.977799227799,111.282043277985,111.250626317057,112.455391020462,113.962343551965,115.264504618516,115.606936416185,116.681071737252,120.697329376855,120.959595959596,122.02380952381,122.118736012372,121.255274261603
299,New Hanover County,NC,Wilmington,37,129,300,144.396551724138,143.013468013468,144.228634850166,142.392963166575,141.780821917808,140.18513476722,138.888888888889,137.836991628765,135.897620696251,133.602078148795,131.798796441654,130.948214062858,128.798094594941,127.41935483871,127.66678685438,125.62619047619,125.122235324834,125.488008923592,123.837700760778,123.827275929992,123.50936967632,123.076557812545,121.652173913043,121.42303943521,121.888684428882,122.099399383231,121.7125382263,123.152709359606,121.950457317073,123.653805561419,122.330243902439,122.242498887801,121.28987517337,120.708154506438,120.410932957076,120.883720930233,120.590379008746,121.580547112462,123.817567567568,125.862068965517,126.969969609075,129.224652087475,128.455457463884,126.353790613718,127.713936510433,125.37889225682,126.199794670114,126.226551226551,126.095947063689,127.262443438914,129.055659082187,130.743311036789,131.243846406301,124.937185929648,124.294267683569,123.238482384824,123.760043572114,124.401913875598,121.923076923077,121.281605809994,121.600418410042,121.452096538274,123.189493556917,125.581395348837,125.933897585245,126.738181173665,128.335569897575,129.178632969558,128.855519480519,131.32984651088,130.525173258049,134.840425531915,133.996937212864,133.909570668907,135.635803097383,138.525644632633,139.158575395506,138.556837888063,138.619697881105,138.809523809524,139.164733178654,141.094891593737,141.557128412538,142.963386727689,143.827398575911,144.980916030534,145.960719646735,146.564885496183,147.679324894515,147.579483790141,147.685816293411,147.840531561462,149.89913437192,148.021190401994,148.021190401994,148.203054806828,149.353358364622,149.3186014772,151.434943847167,152.905026455026,153.279785809906,153.583750125819,153.480040941658,153.699336592357,154.556403050984,155.109056775852,156.433260393873,156.725888324873,157.079770082714,159.537131334115,158.312958435208,159.966426858513,159.792921971408,159.324061286242,159.845177792188,161.479741632413
300,Union County,NC,Charlotte-Concord-Gastonia,37,179,301,105.05857368807,104.792107015729,103.709949409781,103.383458646617,102.515479876161,102.402745995423,101.552106430155,101.256077795786,100.390625,98.8602576808722,98.896499238965,97.9563072586328,96.5920651068159,95.7784455346373,96.3992061241849,96.6439135381115,96.5100851441323,95.7625015255177,95.0863238490034,94.5218238643672,93.3609958506224,92.8305827847827,92.7001758895402,91.7138867702673,91.4953534215714,90.8569797929569,93.3782858183886,93.6995153473344,93.9316239316239,95.1056602328431,94.1125501314284,93.1654283216783,92.5494369510265,92.0914169066684,92.364224137931,92.6681520992306,93.693009118541,95.8214955775931,96.2875939849624,97.9618671926364,99.8693982074264,100.070074323843,101.608234158894,101.729399796541,101.954674509591,102.19133167779,102.309913378248,102.16110518276,100.941706464619,100.424268137463,98.53684490556,100.424268137463,100.83422459893,100.83422459893,100.507614213198,102.415916627191,103.857723577236,105.411898149399,103.153551429413,101.855220080029,100.959208400646,104.804020383426,106.127450980392,107.694192599853,109.375,108.909290039943,106.984793124886,107.797420538423,106.650246305419,108.955495004541,109.297680846719,109.497487437186,111.155543163884,114.161717679306,115.709705625182,116.656761453886,118.200452912796,119.020553991881,119.565217391304,119.928041111848,119.236883942766,119.545128511656,118.560915780867,119.915143848988,120.651845130067,121.427833485263,122.59096267849,124.789992364686,125.202921009253,125.405202567607,125.763126911552,125.762273848429,126.890798161231,126.57060912319,126.976364834704,128.717948717949,127.942681678608,129.94320821704,131.41582582142,131.69841913255,132.579867389994,131.800643086817,131.824234354194,131.762709969764,131.578947368421,132.37741409052,132.497814464511,131.322101818042,131.244694397284,131.988261188555,133.333333333333,136.235024602657,137.224539053426,136.81149610102,136.845238095238,137.286874395035
