OID,IDTRSD,TreeSpecie,TreeDia,TreeDist
160,01N3524W,PINE,26,81
161,01N3525N,FIR,16,7
162,01N3525NW,WESTERN LARCH,14,52
163,01N3525W,FIR,22,14
164,01N3526N,PINE,16,51
165,01N3526NW,PINE,30,100
166,01N3526W,PINE,24,61
167,01N3527N,FIR,8,37
168,01N3527NW,PINE,16,49
169,01N3527W,PINE,12,60
170,01N3528N,PINE,10,9
171,01N3528NW,WESTERN LARCH,12,13
172,01N3528W,RED FIR,12,12
173,01N3531S,PINE,12,29
174,01N3532N,FIR,16,125
175,01N3532NW,PINE,10,72
176,01N3532W,RED FIR,10,31
177,01N3533N,PINE,14,15
178,01N3533NW,PINE,10,18
179,01N3533W,PINE,6,29
180,01N3534N,PINE,10,30
181,01N3534NW,PINE,18,32
182,01N3534W,BLACK PINE,12,32
183,01N3535N,PINE,3,3
184,01N3535NW,FIR,20,29
185,01N3535W,PINE,11,32
186,01N3536N,PINE,22,10
187,01N3536NW,BLACK PINE,16,58
188,01N3536W,PINE,14,73
189,01N3601N,PINE,36,138
190,01N3603N,PINE,9,18
191,01N3603W,PINE,12,50
192,01N3605N,PINE,22,53
193,01N3605NW,FIR,26,8
194,01N3606N,FIR,5,9
195,01N3606NW,FIR,14,21
196,01N3606W,PINE,38,175
197,01N3607N,FIR,6,39
198,01N3608N,FIR,16,6
199,01N3609N,FIR,28,135
200,01N3609NW,FIR,6,88
201,01N3609W,FIR,6,94
202,01N3610NW,PINE,12,82
203,01N3612N,FIR,5,3
204,01N3613N,PINE,6,53
205,01N3615NW,FIR,12,17
206,01N3616N,PINE,5,46
207,01N3616NW,FIR,6,88
208,01N3616W,FIR,12,18
209,01N3617N,FIR,12,12
210,01N3617NW,FIR,12,81
211,01N3617W,FIR,7,130
212,01N3618W,PINE,20,50
213,01N3619N,PINE,8,105
214,01N3620N,PINE,28,191
215,01N3620NW,PINE,6,11
216,01N3620W,PINE,8,4
217,01N3621N,FIR,7,21
218,01N3621W,FIR,8,90
219,01N3622NW,PINE,22,31
220,01N3622W,FIR,20,20
221,01N3736S,SPRUCE,4,15
222,01N3736SW,FIR,6,49
223,01N3736W,WESTERN LARCH,4,10
224,01N3801W,FIR,7,24
225,01N3802W,FIR,20,5
226,01N3803W,PINE,8,64
227,01N3804W,FIR,14,8
228,01N3805NW,PINE,36,10
229,01N3805W,PINE,5,52
230,01N3806N,WESTERN LARCH,26,10
231,01N3806NW,FIR,14,43
232,01N3806W,FIR,18,18
233,01N3807N,FIR,10,16
234,01N3807NW,PINE,36,144
235,01N3807W,FIR,13,13
236,01N3808N,FIR,18,24
237,01N3808NW,FIR,3,11
238,01N3808W,FIR,10,7
239,01N3809N,PINE,14,30
240,01N3809NW,SPRUCE,7,26
241,01N3809W,FIR,14,5
242,01N3810NW,PINE,36,23
243,01N3811NW,RED FIR,10,19
244,01N3815NW,PINE,36,46
245,01N3816N,PINE,24,231
246,01N3816NW,PINE,5,72
247,01N3816W,PINE,24,9
248,01N3817N,FIR,12,56
249,01N3817NW,WESTERN LARCH,3,61
250,01N3817W,WESTERN LARCH,5,4
251,01N3818N,FIR,8,7
252,01N3818NW,FIR,6,18
253,01N3818W,FIR,18,20
254,01N3819N,FIR,6,11
255,01N3819NW,WESTERN LARCH,6,22
256,01N3820N,FIR,3,20
257,01N3820NW,PINE,22,45
258,01N3820W,PINE,7,102
259,01N3821NW,FIR,14,13
260,01N3821W,FIR,6,96
261,01N3822N,PINE,36,10
262,01N3822NW,PINE,24,66
263,01N3827NW,PINE,8,40
264,01N3828N,WESTERN LARCH,9,24
265,01N3828NW,FIR,24,35
266,01N3828W,FIR,10,54
267,01N3829N,FIR,4,27
268,01N3829NW,PINE,14,79
269,01N3829W,FIR,4,49
270,01N3830N,FIR,20,65
271,01N3830NW,FIR,18,84
272,01N3831N,PINE,12,21
273,01N3831NW,FIR,30,130
274,01N3831S,RED FIR,16,39
275,01N3831SW,SPRUCE,5,61
276,01N3831W,FIR,16,---
277,01N3832N,FIR,10,10
278,01N3832NW,FIR,12,146
279,01N3832S,PINE,30,30
280,01N3832SW,PINE,16,215
