OID,IDTRSD,TreeSpecie,TreeDia,TreeDist
4219,06S2426NW,FIR,14,31
4220,06S2426W,PINE,24,75
4221,06S2427NW,PINE,30,6
4222,06S2427W,PINE,12,40
4223,06S2428N,PINE,24,57
4224,06S2429NW,PINE,40,72
4225,06S2430N,PINE,30,30
4226,06S2430NW,FIR,24,20
4227,06S2431N,PINE,8,25
4228,06S2431NW,PINE,20,46
4229,06S2431S,PINE,24,40
4230,06S2432N,FIR,8,55
4231,06S2432NW,PINE,30,40
4232,06S2432S,PINE,30,20
4233,06S2432W,PINE,10,18
4234,06S2433N,PINE,16,25
4235,06S2433NW,PINE,16,25
4236,06S2433S,PINE,24,33
4237,06S2433W,FIR,10,10
4238,06S2434N,PINE,24,34
4239,06S2434W,PINE,20,21
4240,06N4120N,FIR,12,25
4241,06N4225NW,PINE,24,245
4242,06N4226NW,PINE,14,67
4243,06N4228N,JUNIPER,24,83
4244,06N4228W,FIR,8,78
4245,06N4229NW,FIR,24,50
4246,06N4229W,PINE,30,105
4247,06N4230N,PINE,6,52
4248,06N4230NW,PINE,36,430
4249,06N4231N,WESTERN LARCH,6,31
4250,06N4231S,WESTERN LARCH,10,23
4251,06N4232N,PINE,10,19
4252,06N4232NW,WESTERN LARCH,10,28
4253,06N4232S,WESTERN LARCH,12,39
4254,06N4232SW,FIR,18,85
4255,06N4232W,FIR,30,28
4256,06N4233S,FIR,16,15
4257,06N4233SW,FIR,15,62
4258,06N4233W,FIR,8,45
4259,06N4234N,FIR,8,141
4260,06N4234NW,FIR,18,44
4261,06N4234S,FIR,12,50
4262,06N4234SW,PINE,14,69
4263,06N4234W,WESTERN LARCH,12,22
4264,06N4235N,FIR,8,81
4265,06N4235NW,PINE,36,116
4266,06N4235S,PINE,40,108
4267,06N4120NW,SPRUCE,18,35
4268,06N4120W,FIR,24,12
4269,06N4121N,FIR,10,41
4270,06N4121NW,FIR,20,57
4271,06N4121W,FIR,9,14
4272,06N4128W,FIR,20,159
4273,06N4129N,FIR,28,15
4274,06N4129NW,FIR,10,48
4275,06N4129W,FIR,14,99
4276,06N4130N,FIR,18,113
4277,06N4130NW,FIR,18,37
4278,06N4207N,FIR,24,41
4279,06N4207NW,WESTERN LARCH,8,27
4280,06N4207W,FIR,36,120
4281,06N4208NW,PINE,60,56
4282,06N4208W,PINE,60,48
4283,06N4209N,PINE,38,201
4284,06N4209NW,FIR,36,134
4285,06N4210N,FIR,14,37
4286,06N4210NW,PINE,24,98
4287,06N4210W,PINE,14,20
4288,06N4211N,PINE,36,103
4289,06N4211NW,PINE,36,397
4290,06N4211W,PINE,60,18
4291,06N4212E,WESTERN LARCH,40,9
4292,06N4212N,WESTERN LARCH,20,137
4293,06N4212NE,YELLOW PINE,24,65
4294,06N4212NW,FIR,18,36
4295,06N4212W,PINE,48,83
4296,06N4213N,PINE,40,12
4297,06N4213NE,YELLOW PINE,48,65
4298,06N4213NW,PINE,36,129
4299,06N4214N,FIR,20,7
4300,06N4214NW,PINE,60,53
4301,06N4235SW,PINE,28,54
4302,06N4235W,PINE,18,47
4303,06N4236NW,FIR,24,92
4304,06N4236S,PINE,10,56
4305,06N4236SW,PINE,10,161
4306,06N4305NW,YELLOW PINE,30,22
4307,06N4306N,YELLOW PINE,36,36
4308,06N4306NW,WHITE FIR,18,104
4309,06S2419N,PINE,20,50
4310,06S2420N,PINE,10,93
4311,06S2420NW,PINE,30,113
4312,06S2420W,PINE,6,50
4313,06S2421NW,PINE,20,10
4314,06S2422W,PINE,36,50
4315,06S2423W,JUNIPER,24,36
4316,06S2435N,PINE,24,75
4317,06S2435NW,PINE,16,75
4318,06S2435W,PINE,24,75
4319,06S2436E,PINE,18,48
4320,06S2436NW,PINE,20,12
4321,06S2436SE,PINE,24,25
4322,06S2436W,FIR,8,25
4323,06S2501E,PINE,30,18
4324,06S2501NE,PINE,8,26
4325,06S2512E,PINE,16,21
4326,06S2512NE,PINE,30,68
4327,06S2513NE,PINE,16,72
4328,06S2524E,FIR,12,5
4329,06S2524NE,PINE,18,57
4330,06S2525E,PINE,18,69
4331,06S2525NE,PINE,36,72
4332,06S2536E,PINE,20,10
4333,06S2536NE,PINE,30,59
4334,06S2601E,PINE,4,39
4335,06S2601NE,WESTERN LARCH,15,31
4336,06S2601NW,PINE,8,98
4337,06S2601W,PINE,18,56
4338,06S2602NW,PINE,24,45
4339,06S2602W,PINE,8,25
4340,06S2603NW,FIR,8,15
4341,06S2603W,PINE,8,14
4342,06S2604NW,PINE,36,25
4343,06S2604W,PINE,24,58
4344,06S2605NW,PINE,18,38
4345,06S2605W,PINE,8,27
4346,06S2607N,PINE,20,32
4347,06S2608N,PINE,36,29
4348,06S2608NW,PINE,30,99
4349,06S2608W,PINE,8,72
4350,06S2609N,PINE,10,29
4351,06S2609NW,FIR,18,23
4352,06S2609W,PINE,20,11
4353,06S2610N,PINE,9,27
4354,06S2610NW,FIR,36,50
4355,06S2610W,PINE,24,28
4356,06S2611N,PINE,8,19
4357,06S2611NW,PINE,15,64
4358,06S2611W,PINE,15,175
4359,06S2612E,PINE,15,250
4360,06S2612NE,PINE,16,113
4361,06S2612NW,PINE,24,71
4362,06S2612W,FIR,20,20
4363,06S2613NW,FIR,30,94
4364,06S2614N,PINE,6,39
4365,06S2614NW,FIR,30,25
4366,06S2614W,WESTERN LARCH,30,39
4367,06S2615N,PINE,8,41
4368,06S2615NW,PINE,24,88
4369,06S2615W,PINE,24,80
4370,06S2616N,FIR,6,11
4371,06S2616NW,FIR,30,19
4372,06S2616W,PINE,24,66
4373,06S2617N,PINE,36,40
4374,06S2617NW,PINE,10,15
4375,06S2617W,PINE,40,85
4376,06S2618N,PINE,36,83
4377,06S2619N,PINE,10,46
4378,06S2620N,PINE,10,22
4379,06S2620NW,PINE,38,59
4380,06S2620W,WESTERN LARCH,12,31
4381,06S2621N,PINE,30,57
4382,06S2621NW,FIR,36,71
4383,06S2621W,JUNIPER,15,55
4384,06S2622N,PINE,20,98
4385,06S2622NW,PINE,10,60
4386,06S2622W,PINE,9,33
4387,06S2623N,PINE,6,10
4388,06S2623NW,PINE,8,27
4389,06S2623W,PINE,36,110
4390,06S2624E,PINE,24,30
4391,06S2624N,PINE,24,37
4392,06S2624NE,PINE,40,200
4393,06S2625E,PINE,10,23
4394,06S2625N,PINE,30,38
4395,06S2625NW,PINE,30,20
4396,06S2625W,PINE,18,18
4397,06S2626NW,PINE,36,27
4398,06S2626W,PINE,36,148
4399,06S2627N,PINE,18,33
4400,06S2627NW,PINE,30,82
4401,06S2627W,WESTERN LARCH,10,28
4402,06S2628N,PINE,9,23
4403,06S2628NW,PINE,24,36
4404,06S2628W,PINE,24,30
4405,06S2629N,PINE,36,42
4406,06S2629NW,WESTERN LARCH,15,30
4407,06S2629W,PINE,24,18
4408,06S2630N,FIR,42,25
4409,06S2631S,PINE,26,30
4410,06S2631SW,PINE,14,70
4411,06S2632N,PINE,24,71
4412,06S2632NW,PINE,30,42
4413,06S2632S,PINE,40,170
4414,06S2632SW,PINE,30,143
4415,06S2632W,PINE,24,69
4416,06S2633N,PINE,9,27
4417,06S2633S,PINE,24,37
4418,06S2633SW,PINE,36,175
4419,06S2633W,PINE,48,170
4420,06S2634N,PINE,16,21
4421,06S2634NW,PINE,36,29
4422,06S2634SW,PINE,30,54
4423,06S2634W,PINE,24,49
4424,06S2635N,JUNIPER,10,130
4425,06S2635NW,PINE,30,109
4426,06S2635SW,PINE,30,65
4427,06S2635W,PINE,20,68
4428,06S2636NW,PINE,30,80
4429,06S2701E,PINE,24,111
4430,06S2701NE,PINE,20,47
4431,06S2701NW,PINE,8,16
4432,06S2701W,PINE,28,32
4433,06S2702NW,FIR,36,56
4434,06S2702W,PINE,12,9
4435,06S2703NW,FIR,20,16
4436,06S2703W,PINE,8,18
4437,06S2704NW,FIR,14,23
4438,06S2704W,PINE,28,70
4439,06S2705NW,PINE,18,100
4440,06S2705W,FIR,24,34
4441,06S2707N,PINE,8,134
4442,06S2708N,PINE,20,24
4443,06S2708NW,WESTERN LARCH,16,68
4444,06S2708W,PINE,36,40
4445,06S2709N,PINE,10,40
4446,06S2709NW,PINE,30,30
4447,06S2710N,PINE,24,25
4448,06S2710NW,PINE,28,100
4449,06S2710W,PINE,20,31
4450,06S2711N,PINE,24,42
4451,06S2711NW,FIR,10,53
4452,06S2711W,PINE,18,27
4453,06S2712N,FIR,14,28
4454,06S2712NW,PINE,20,45
4455,06S2712W,WESTERN LARCH,12,18
4456,06S2713E,FIR,20,65
4457,06S2713N,PINE,12,34
4458,06S2713NE,PINE,8,47
4459,06S2713NW,PINE,10,177
4460,06S2713W,PINE,24,50
4461,06S2714N,WESTERN LARCH,12,25
4462,06S2714NW,JUNIPER,30,41
4463,06S2714W,PINE,12,47
4464,06S2715N,PINE,24,60
4465,06S2715NW,PINE,10,80
4466,06S2715W,PINE,30,29
4467,06S2716N,PINE,30,117
4468,06S2716NW,PINE,28,45
4469,06S2716W,PINE,30,250
4470,06S2717N,PINE,24,200
4471,06S2717NW,PINE,30,260
4472,06S2717W,PINE,8,66
4473,06S2718N,PINE,10,35
4474,06S2720NW,PINE,10,100
4475,06S2720W,PINE,12,10
4476,06S2721N,JUNIPER,8,80
4477,06S2721NW,PINE,40,110
4478,06S2722N,PINE,30,123
4479,06S2722NW,JUNIPER,12,143
4480,06S2722W,PINE,24,14
4481,06S2723N,PINE,20,24
4482,06S2723NW,PINE,12,36
4483,06S2723W,FIR,8,22
4484,06S2724W,PINE,8,38
4485,06S2725N,PINE,30,25
4486,06S2725NE,PINE,10,70
4487,06S2725NW,JUNIPER,14,54
4488,06S2725W,FIR,9,32
4489,06S2726N,PINE,5,8
4490,06S2726NW,PINE,26,42
4491,06S2726W,PINE,24,55
4492,06S2727N,PINE,15,12
4493,06S2727NW,PINE,24,83
4494,06S2727W,PINE,24,58
4495,06S2728NW,FIR,20,19
4496,06S2728W,PINE,36,100
4497,06S2729N,PINE,40,86
4498,06S2729NW,FIR,30,125
4499,06S2730N,PINE,30,100
4500,06S2731N,PINE,36,10
4501,06S2731SW,PINE,14,81
4502,06S2732N,PINE,8,50
4503,06S2732NW,FIR,24,9
4504,06S2732S,PINE,40,9
4505,06S2732SW,PINE,4,85
4506,06S2732W,PINE,8,25
4507,06S2733N,PINE,24,41
4508,06S2733NW,PINE,30,38
4509,06S2733S,PINE,24,43
4510,06S2733SW,PINE,36,120
4511,06S2733W,JUNIPER,10,97
4512,06S2734N,PINE,28,46
4513,06S2734NW,PINE,24,25
4514,06S2734S,PINE,26,53
4515,06S2734SW,PINE,24,86
4516,06S2734W,PINE,9,16
4517,06S2735N,PINE,30,58
4518,06S2735NW,PINE,18,19
4519,06S2735W,PINE,18,19
4520,06S2736N,PINE,24,44
4521,06S2736NE,PINE,24,116
4522,06S2736NW,PINE,8,32
4523,06S2736W,PINE,12,82
4524,06S2801NE,WESTERN LARCH,4,13
4525,06S2801W,PINE,8,60
4526,06S2802NW,WESTERN LARCH,9,19
4527,06S2802W,FIR,24,17
4528,06S2803NW,BLACK PINE,6,15
4529,06S2803W,PINE,24,19
4530,06S2804NW,PINE,11,20
4531,06S2804W,PINE,10,20
4532,06S2805NW,PINE,24,53
4533,06S2807N,PINE,24,63
4534,06S2808N,PINE,24,16
4535,06S2808NW,PINE,8,47
4536,06S2808W,FIR,24,47
4537,06S2809N,PINE,24,55
4538,06S2809NW,PINE,36,100
4539,06S2809W,FIR,10,13
4540,06S2810N,PINE,30,35
4541,06S2810NW,PINE,36,80
4542,06S2810W,WESTERN LARCH,24,33
4543,06S2811N,FIR,8,15
4544,06S2811NW,FIR,9,61
4545,06S2811W,PINE,24,30
4546,06S2812N,FIR,12,14
4547,06S2812NE,PINE,30,48
4548,06S2812NW,WESTERN LARCH,10,48
4549,06S2812W,WESTERN LARCH,20,32
4550,06S2813N,FIR,8,25
4551,06S2813NE,PINE,24,47
4552,06S2813NW,BLACK PINE,8,42
4553,06S2813W,PINE,24,30
4554,06S2814N,PINE,24,50
4555,06S2814NW,PINE,24,86
4556,06S2815NW,PINE,20,25
4557,06S2816N,PINE,26,24
4558,06S2816NW,FIR,8,147
4559,06S2816W,PINE,24,30
4560,06S2817N,PINE,15,22
4561,06S2817NW,FIR,20,10
4562,06S2817W,PINE,6,20
4563,06S2818N,PINE,---,120
4564,06S2819N,JUNIPER,12,87
4565,06S2821N,PINE,28,20
4566,06S2821NW,PINE,30,118
4567,06S2821W,PINE,12,41
4568,06S2822NW,PINE,18,113
4569,06S2823N,PINE,30,75
4570,06S2823NW,PINE,30,27
4571,06S2824N,PINE,10,40
4572,06S2824NE,PINE,30,37
4573,06S2824NW,PINE,10,117
4574,06S2825N,PINE,12,60
4575,06S2825NE,PINE,30,10
4576,06S2825NW,PINE,10,117
4577,06S2825W,JUNIPER,10,30
4578,06S2826N,FIR,20,42
4579,06S2826NW,PINE,40,104
4580,06S2827NW,PINE,36,138
4581,06S2828NW,PINE,24,40
4582,06S2828W,PINE,24,29
4583,06S2829N,JUNIPER,20,138
4584,06S2832NW,PINE,10,50
4585,06S2832SW,JUNIPER,10,36
4586,06S2833SW,PINE,10,200
4587,06S2835NW,JUNIPER,24,63
4588,06S2835S,PINE,24,82
4589,06S2835SW,JUNIPER,24,57
4590,06S2836NE,PINE,20,43
4591,06S2836NW,PINE,24,37
4592,06S2836SW,PINE,10,130
4593,06S2901E,FIR,10,48
4594,06S2901NE,PINE,18,132
4595,06S2902NW,FIR,20,64
4596,06S2902W,PINE,12,60
4597,06S2903NW,FIR,15,14
4598,06S2903W,PINE,24,12
4599,06S3201NW,WESTERN LARCH,20,27
4600,06S3201W,FIR,6,152
4601,06S3202NW,FIR,30,35
4602,06S3202W,WESTERN LARCH,18,7
4603,06S3203W,PINE,40,45
4604,06S3204NW,WESTERN LARCH,24,16
4605,06S3204W,PINE,30,32
4606,06S3207N,PINE,30,113
4607,06S3208N,PINE,36,9
4608,06S3209N,PINE,26,123
4609,06S3209NW,PINE,12,138
4610,06S3210N,FIR,30,31
4611,06S3210NW,PINE,8,12
4612,06S3210W,PINE,11,12
4613,06S3211N,WESTERN LARCH,24,50
4614,06S3013E,PINE,7,49
4615,06S3024E,YELLOW PINE,40,66
4616,06S3025E,PINE,24,180
4617,06S3101NE,PINE,4,190
4618,06S3102NW,YELLOW PINE,24,20
4619,06S3102W,YELLOW PINE,20,93
4620,06S3103NW,YELLOW PINE,16,110
4621,06S3104W,YELLOW PINE,18,45
4622,06S3132N,YELLOW PINE,20,41
4623,06S3132NW,YELLOW PINE,24,72
4624,06S3133N,YELLOW PINE,34,79
4625,06S3133NW,YELLOW PINE,9,12
4626,06S3133W,YELLOW PINE,14,48
4627,06S3134W,YELLOW PINE,38,10
4628,06S3211NW,WESTERN LARCH,20,35
4629,06S3211W,PINE,18,8
4630,06S3212N,PINE,24,94
4631,06S3212NW,FIR,26,46
4632,06S3212W,PINE,10,41
4633,06S3215N,PINE,12,24
4634,06S3215NW,PINE,18,32
4635,06S3215W,PINE,36,17
4636,06S3216W,PINE,12,236
4637,06S3217W,FIR,24,47
4638,06S3218N,PINE,15,31
4639,06S3220N,PINE,24,55
4640,06S3221N,PINE,40,48
4641,06S3221NW,PINE,18,61
4642,06S3222N,PINE,24,87
4643,06S3222NW,PINE,24,84
4644,06S3223N,PINE,40,50
4645,06S3223NW,PINE,24,22
4646,06S3224N,FIR,48,20
4647,06S3224NW,PINE,36,49
4648,06S3224W,FIR,10,45
4649,06S3225N,PINE,40,49
4650,06S3225NW,PINE,30,30
4651,06S3225W,PINE,12,19
4652,06S3226N,FIR,18,11
4653,06S3226NW,PINE,30,26
4654,06S3226W,FIR,18,43
4655,06S3227N,PINE,30,61
4656,06S3227NW,PINE,10,144
4657,06S3227W,PINE,24,24
4658,06S2904NW,PINE,20,51
4659,06S2904W,FIR,24,77
4660,06S2905NW,PINE,7,12
4661,06S2905W,PINE,15,68
4662,06S2907N,PINE,5,10
4663,06S2907NW,FIR,10,36
4664,06S2908N,PINE,20,22
4665,06S2908NW,PINE,6,53
4666,06S2908W,PINE,4,7
4667,06S2909N,PINE,16,27
4668,06S2909NW,PINE,6,39
4669,06S2909W,PINE,8,76
4670,06S2910NW,FIR,9,22
4671,06S2910W,PINE,9,76
4672,06S2911N,WESTERN LARCH,20,22
4673,06S2911NW,PINE,30,82
4674,06S2912E,PINE,8,19
4675,06S2912NE,PINE,18,10
4676,06S2912NW,PINE,25,9
4677,06S2912W,PINE,20,19
4678,06S2913E,PINE,20,56
4679,06S2913N,PINE,6,3
4680,06S2913NE,WESTERN LARCH,20,13
4681,06S2913NW,WESTERN LARCH,10,51
4682,06S2913W,PINE,10,82
4683,06S2914N,FIR,24,48
4684,06S2914NW,PINE,30,11
4685,06S2914W,PINE,20,42
4686,06S2916N,PINE,20,90
4687,06S2916NW,PINE,20,104
4688,06S2917N,PINE,10,20
4689,06S2917NW,PINE,5,68
4690,06S2917W,PINE,10,48
4691,06S2918N,PINE,9,17
4692,06S2918NW,PINE,14,49
4693,06S2919N,PINE,4,50
4694,06S3114N,FIR,9,31
4695,06S3105NW,YELLOW PINE,36,81
4696,06S3105W,YELLOW PINE,76,20
4697,06S3107N,YELLOW PINE,20,40
4698,06S3108N,YELLOW PINE,7,17
4699,06S3108NW,YELLOW PINE,20,24
4700,06S3108W,YELLOW PINE,20,64
4701,06S3109N,FIR,6,66
4702,06S3109W,YELLOW PINE,28,64
4703,06S3110W,WESTERN LARCH,24,37
4704,06S3111W,FIR,30,63
4705,06S3113N,YELLOW PINE,26,12
4706,06S3113NE,PINE,20,127
4707,06S3113W,FIR,36,21
4708,06S3124NW,YELLOW PINE,20,44
4709,06S3125NW,YELLOW PINE,30,114
4710,06S3127N,YELLOW PINE,26,60
4711,06S3127NW,FIR,9,63
4712,06S3127W,YELLOW PINE,36,67
4713,06S3129NW,YELLOW PINE,34,88
4714,06S3129W,YELLOW PINE,10,83
4715,06S3130N,YELLOW PINE,44,95
4716,06S3131N,YELLOW PINE,24,125
4717,06S3115NW,YELLOW PINE,44,72
4718,06S3115W,PINE,40,33
4719,06S3116NW,YELLOW PINE,46,41
4720,06S3116W,YELLOW PINE,26,60
4721,06S3117N,YELLOW PINE,40,133
4722,06S3117NW,YELLOW PINE,22,42
4723,06S3117W,YELLOW PINE,44,12
4724,06S3118N,YELLOW PINE,16,54
4725,06S3119N,FIR,26,97
4726,06S3122NW,ALDER,6,30
4727,06S3122W,FIR,8,17
4728,06S3124N,YELLOW PINE,40,171
4729,06S2919NW,PINE,30,36
4730,06S2920NW,PINE,30,55
4731,06S2922N,PINE,12,28
4732,06S2922NW,PINE,40,58
4733,06S2923N,PINE,30,82
4734,06S2923NW,PINE,12,46
4735,06S2924N,PINE,30,32
4736,06S2924NE,PINE,15,110
4737,06S2924NW,PINE,10,13
4738,06S2924W,PINE,10,46
4739,06S2926NW,PINE,6,95
4740,06S2930N,PINE,12,41
4741,06S2930NW,PINE,24,97
4742,06S2931NW,PINE,8,28
4743,06S2932SW,PINE,18,37
4744,06S2933NW,PINE,18,16
4745,06S2933SW,PINE,10,60
4746,06S2935NW,PINE,9,158
4747,06S2935S,PINE,6,16
4748,06S2936E,FIR,24,128
4749,06S2936NE,FIR,27,32
4750,06S3001E,FIR,16,11
4751,06S3001NE,PINE,4,83
4752,06S3012E,PINE,40,66
4753,06S3012NE,PINE,15,140
4754,06S3213N,FIR,10,43
4755,06S3213NW,PINE,8,55
4756,06S3213W,FIR,8,12
4757,06S3214N,PINE,8,6
4758,06S3214NW,PINE,24,31
4759,06S3214W,FIR,10,50
4760,06S3232N,FIR,24,59
4761,06S3232W,FIR,24,47
4762,06S3233N,PINE,24,55
4763,06S3233NW,FIR,24,165
4764,06S3233W,PINE,6,15
4765,06S3234N,WESTERN LARCH,11,54
4766,06S3234NW,PINE,8,55
4767,06S3234W,PINE,10,27
4768,06S3235N,PINE,30,81
4769,06S3235NW,PINE,10,91
4770,06S3235W,WESTERN LARCH,11,18
4771,06S3236N,WESTERN LARCH,5,50
4772,06S3236NW,PINE,12,61
4773,06S3236W,PINE,24,64
4774,06S3301NW,WESTERN LARCH,11,49
4775,06S3301W,WESTERN LARCH,20,20
4776,06S3302NW,PINE,10,37
4777,06S3302W,PINE,12,25
4778,06S3303NW,PINE,18,139
4779,06S3303W,PINE,8,29
4780,06S3304NW,PINE,10,24
4781,06S3304W,FIR,30,27
4782,06S3305NW,PINE,20,138
4783,06S3305W,FIR,18,8
4784,06S3306NW,PINE,10,9
4785,06S3306W,PINE,18,5
4786,06S3307N,PINE,6,14
4787,06S3307NW,PINE,10,103
4788,06S3307W,FIR,10,5
4789,06S3308N,SPRUCE,10,10
4790,06S3308NW,PINE,8,32
4791,06S3308W,PINE,30,18
4792,06S3309N,PINE,12,30
4793,06S3309NW,PINE,24,41
4794,06S3309W,PINE,10,45
4795,06S3310N,PINE,10,45
4796,06S3310NW,WESTERN LARCH,18,25
4797,06S3310W,PINE,6,6
4798,06S3311N,WESTERN LARCH,13,174
4799,06S3311NW,PINE,6,35
4800,06S3311W,PINE,10,89
4801,06S3312N,WESTERN LARCH,20,22
4802,06S3312NW,PINE,24,41
4803,06S3312W,WESTERN LARCH,11,37
4804,06S3313N,PINE,6,12
4805,06S3313NW,PINE,5,11
4806,06S3313W,PINE,6,27
4807,06S3314N,FIR,10,26
4808,06S3314NW,PINE,10,6
4809,06S3314W,PINE,8,18
4810,06S3315N,PINE,4,9
4811,06S3315NW,PINE,10,9
4812,06S3315W,FIR,10,4
4813,06S3316N,FIR,18,50
4814,06S3316NW,PINE,3,10
4815,06S3316W,PINE,6,20
4816,06S3317N,PINE,3,4
4817,06S3317NW,PINE,4,21
4818,06S3317W,PINE,10,14
4819,06S3318N,PINE,30,259
4820,06S3318NW,WESTERN LARCH,12,26
4821,06S3318W,PINE,27,59
4822,06S3319N,PINE,40,15
4823,06S3319NW,PINE,27,107
4824,06S3319W,WESTERN LARCH,18,66
4825,06S3320N,PINE,30,75
4826,06S3320NW,FIR,11,48
4827,06S3320W,PINE,10,8
4828,06S3321N,FIR,8,26
4829,06S3321NW,PINE,12,52
4830,06S3321W,PINE,12,24
4831,06S3322N,FIR,20,3
4832,06S3322NW,FIR,25,18
4833,06S3322W,PINE,12,4
4834,06S3323N,PINE,4,9
4835,06S3323NW,FIR,13,14
4836,06S3323W,PINE,6,7
4837,06S3324N,PINE,10,7
4838,06S3324NW,SPRUCE,10,13
4839,06S3324W,FIR,24,76
4840,06S3325N,WESTERN LARCH,20,163
4841,06S3325NW,PINE,10,39
4842,06S3325W,FIR,12,26
4843,06S3326N,PINE,10,9
4844,06S3326NW,PINE,10,3
4845,06S3326W,WESTERN LARCH,10,26
4846,06S3327N,FIR,8,6
4847,06S3327NW,PINE,10,33
4848,06S3327W,PINE,12,21
4849,06S3328N,JUNIPER,18,147
4850,06S3328NW,PINE,6,11
4851,06S3328W,WESTERN LARCH,18,10
4852,06S3329N,WESTERN LARCH,5,14
4853,06S3329NW,PINE,12,38
4854,06S3329W,PINE,10,10
4855,06S3330N,PINE,10,56
4856,06S3330NW,WESTERN LARCH,18,35
4857,06S3330W,FIR,24,19
4858,06S3331N,PINE,30,57
4859,06S3331NW,PINE,10,72
4860,06S3331W,PINE,30,108
4861,06S3332N,PINE,30,93
4862,06S3332NW,PINE,30,35
4863,06S3332W,PINE,20,26
4864,06S3333N,PINE,11,6
4865,06S3333NW,PINE,30,27
4866,06S3333W,PINE,24,49
4867,06S3334N,WESTERN LARCH,4,3
4868,06S3334NW,FIR,16,19
4869,06S3334W,SPRUCE,15,16
4870,06S3335N,FIR,10,14
4871,06S3335NW,ALDER,8,20
4872,06S3335W,WESTERN LARCH,8,6
4873,06S3336N,PINE,12,78
4874,06S3336NW,SPRUCE,10,12
4875,06S3336W,FIR,10,7
4876,06S3401NW,FIR,5,24
4877,06S3401W,SPRUCE,10,16
4878,06S3402NW,SPRUCE,12,50
4879,06S3402W,PINE,10,4
4880,06S3403NW,FIR,10,5
4881,06S3403W,FIR,12,33
4882,06S3404NW,PINE,9,---
4883,06S3404W,PINE,8,29
4884,06S3405NW,PINE,6,20
4885,06S3405W,WESTERN LARCH,12,42
4886,06S3406NW,PINE,4,11
4887,06S3406W,MAHOGANY,6,51
4888,06S3407N,WESTERN LARCH,14,18
4889,06S3407NW,PINE,10,28
4890,06S3407W,FIR,10,28
4891,06S3408N,PINE,10,12
4892,06S3408NW,PINE,4,10
4893,06S3408W,PINE,10,18
4894,06S3409N,PINE,8,12
4895,06S3409NW,FIR,10,15
4896,06S3409W,PINE,8,26
4897,06S3410N,PINE,12,33
4898,06S3410NW,FIR,12,2
4899,06S3410W,PINE,9,9
4900,06S3411N,PINE,11,19
4901,06S3411NW,PINE,10,7
4902,06S3411W,PINE,8,5
4903,06S3412N,PINE,10,4
4904,06S3412NW,FIR,18,7
4905,06S3412W,SPRUCE,8,7
4906,06S3413N,SPRUCE,8,51
4907,06S3413NW,FIR,8,25
4908,06S3413W,PINE,10,23
4909,06S3414N,PINE,10,55
4910,06S3414NW,FIR,12,56
4911,06S3414W,FIR,6,10
4912,06S3415N,SPRUCE,6,12
4913,06S3415NW,PINE,12,26
4914,06S3415W,PINE,10,9
4915,06S3416N,FIR,24,53
4916,06S3416NW,WESTERN LARCH,10,15
4917,06S3416W,FIR,18,18
4918,06S3417N,FIR,8,6
4919,06S3417NW,PINE,10,24
4920,06S3417W,WESTERN LARCH,20,15
4921,06S3418N,WESTERN LARCH,12,17
4922,06S3418NW,SPRUCE,10,32
4923,06S3418W,FIR,24,25
4924,06S3419N,PINE,8,7
4925,06S3419NW,PINE,10,26
4926,06S3419W,PINE,8,4
4927,06S3420N,WESTERN LARCH,10,40
4928,06S3420NW,FIR,20,83
4929,06S3420W,PINE,10,11
4930,06S3421N,PINE,12,40
4931,06S3421NW,PINE,10,17
4932,06S3421W,SPRUCE,12,45
4933,06S3422N,FIR,10,16
4934,06S3422NW,WESTERN LARCH,12,137
4935,06S3422W,FIR,12,29
4936,06S3423N,FIR,30,93
4937,06S3423NW,FIR,8,43
4938,06S3423W,PINE,12,29
4939,06S3424N,FIR,10,28
4940,06S3424NW,FIR,24,6
4941,06S3424W,PINE,13,18
4942,06S3425N,PINE,10,12
4943,06S3425NW,PINE,10,15
4944,06S3425W,PINE,6,17
4945,06S3426N,PINE,10,20
4946,06S3426NW,PINE,6,5
4947,06S3426W,PINE,10,13
4948,06S3427N,SPRUCE,6,7
4949,06S3427NW,WESTERN LARCH,18,28
4950,06S3427W,PINE,10,47
4951,06S3428N,WESTERN LARCH,20,20
4952,06S3428NW,PINE,10,37
4953,06S3428W,PINE,8,5
4954,06S3429N,FIR,10,19
4955,06S3429NW,WESTERN LARCH,10,25
4956,06S3429W,PINE,10,12
4957,06S3430N,FIR,10,6
4958,06S3430NW,PINE,8,77
4959,06S3430W,SPRUCE,10,54
4960,06S3431N,FIR,18,27
4961,06S3431NW,JUNIPER,10,75
4962,06S3431W,SPRUCE,13,7
4963,06S3432N,PINE,10,38
4964,06S3432NW,PINE,10,104
4965,06S3432W,FIR,10,17
4966,06S3433N,PINE,11,57
4967,06S3433NW,PINE,6,24
4968,06S3433W,PINE,9,4
4969,06S3434N,PINE,4,7
4970,06S3434NW,PINE,8,36
4971,06S3434W,PINE,8,20
4972,06S3435N,PINE,10,5
4973,06S3435NW,PINE,6,15
4974,06S3435W,SPRUCE,18,12
4975,06S3436N,SPRUCE,5,23
4976,06S3436NW,PINE,12,15
4977,06S3436W,WESTERN LARCH,30,148
4978,06S3504NW,BLACK PINE,7,7
4979,06S3504W,BLACK PINE,8,13
4980,06S3505NW,BLACK PINE,7,11
4981,06S3505W,WESTERN LARCH,7,28
