,Year,Conversions,Baptisms,New Church Sponsor,Compassionate Ministry,Doctrine of Holiness Preached,Full Church Members Reported Last Year,Received by Profession of Faith,Received from Other Denominations,Received by Transfer,Total Gains,Lost by Death,Lost by Removal,Lost by Commendation,Lost by Release,"Lost by Removal, Commendation, or Release",Lost by Transfer to Other Nazarene Churches,Total Losses,Full Church Members End of Year,Inactive Church Members,Fellowship Church Members,Weekly Corporate Worship,Communion Served,Prayer Meetings,Total Children’s SDMI Responsibility List,Average Weekly Children’s SDMI Attendance,Total Youth SDMI Responsibility List,Average Weekly Youth SDMI Attendance,Total Adult SDMI Responsibility List,Average Weekly Adult SDMI Attendance,Total SDMI Responsibility List,Average Weekly SDMI Attendance,Total Average Weekly Sunday School Attendance,Total Average Weekly Discipleship Groups Attendance,Actively Involved in Ministry,Operate a Child Development Center?,Enrolled Child Development Center,Provide Lay Ministry Training?,VBS Enrollment,Caravan Enrollment,NYI Membership,NMI Active Membership,NMI Associate Membership,Licensed Local Ministers,Lay Ministry Certificates Issued,Total Church Income,World Evangelism Fund,Approved Mission Specials,Other Global Interests,Total Given to Global Mission,Pension Fund,District  Ministry Funds,Other District Interests,Total Given to District Mission,Assigned Educational Institution,Other Nazarene Educational Instituions,Total Given to Education Funds,"Buildings, Properties and Capital Improvements",Debt Service,"Pastor, Associate, and Support Staff Salaries","Pastor, Associate, and Support Staff Benefits",Local Compassionate Ministries,All Other Church Ministries,Total Used for Local Mission,Total Missional Disbursements,Value of Church Properties,Indebtedness on Those Properties,Allocation Paid in Full?,Percentage Paid,Fund Allocation Paid in Full?,Fund Percentage Paid,Fund Allocation Paid in Full?,Fund Percentage Paid,Fund Allocation Paid in Full?,Allocations Paid in Full?,Given for Global Missions
78,1943,,0,,,,51,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,51,0,0,,0,,12,,0,,0,,84,45,45,0,,,,,0,0,16,14,6.0,,,,107,0,17,124,0,43,12,55,30,0.0,30,327,627,886,0,16,236,2092,2301,10500,0.0,,,,,,,,,
79,1942,,0,,,,51,3.0,0.0,3.0,6,1.0,0,0,0,5.0,0,6,51,0,0,,0,,9,,0,,0,,77,39,39,0,,,,,0,0,19,12,2.0,,,,84,0,6,90,0,36,42,78,20,0.0,20,3,400,564,0,6,439,1412,1600,2000,600.0,,,,,,,,,
80,1941,,0,,,,59,0.0,0.0,0.0,0,0.0,0,0,0,4.0,4,8,51,0,0,,0,,4,,0,,0,,75,47,47,0,,,,,0,0,12,8,3.0,,,,68,5,4,77,0,26,4,30,14,0.0,14,4,168,726,0,0,288,1186,1307,2000,986.0,,,,,,,,,
81,1940,,0,,,,61,4.0,0.0,2.0,6,0.0,6,0,0,6.0,2,8,59,0,0,,0,,9,,0,,0,,83,58,58,0,,,,,0,0,11,31,7.0,,,,3,0,0,3,0,45,0,45,37,0.0,37,0,100,778,0,0,572,1450,1535,2000,1150.0,,,,,,,,,
82,1939,,0,,,,55,6.0,1.0,3.0,10,0.0,0,1,0,1.0,3,4,61,0,0,,0,,47,,0,,0,,167,64,64,0,,,,,0,0,15,31,8.0,,,,14,0,0,14,0,54,0,54,20,0.0,20,84,37,822,0,0,216,1159,1247,2000,1250.0,,,,,,,,,
83,1938,,0,,,,64,3.0,0.0,4.0,7,0.0,14,0,0,14.0,2,16,55,0,0,,0,,48,,0,,0,,164,74,74,0,,,,,0,0,13,28,5.0,,,,30,0,0,30,0,54,12,66,14,0.0,14,3,281,971,0,0,309,1564,1674,2000,1250.0,,,,,,,,,
84,1937,,0,,,,63,1.0,1.0,0.0,2,1.0,0,0,0,0.0,0,1,64,0,0,,0,,53,,0,,0,,172,67,67,0,,,,,0,0,0,25,10.0,,,,16,0,0,16,0,36,0,36,10,0.0,10,157,100,618,0,0,144,1019,1081,2000,1400.0,,,,,,,,,
85,1936,,0,,,,63,4.0,0.0,0.0,4,0.0,0,0,0,0.0,4,4,63,0,0,,0,,54,,0,,0,,246,102,102,0,,,,,0,0,16,0,0.0,,,,54,0,0,54,0,55,0,55,14,0.0,14,600,0,664,0,40,404,1708,1831,3500,1500.0,,,,,,,,,
86,1935,,0,,,,57,11.0,0.0,0.0,11,0.0,5,0,0,5.0,0,5,63,0,0,,0,,47,,0,,0,,189,90,90,0,,,,,0,0,16,23,5.0,,,,53,0,7,60,0,29,2,31,0,,0,0,0,919,0,0,454,1373,1464,0,0.0,,,,,,,,,
87,1934,,0,,,,44,14.0,3.0,1.0,18,0.0,2,0,0,2.0,3,5,57,0,0,,0,,30,,0,,0,,166,88,88,0,,,,,0,0,33,18,6.0,,,,43,0,20,63,0,24,0,24,2,0.0,2,100,25,564,0,16,379,1084,1173,8000,1975.0,,,,,,,,,
88,1933,,0,,,,35,9.0,0.0,1.0,10,0.0,1,0,0,1.0,0,1,44,0,0,,0,,29,,0,,0,,191,103,103,0,,,,,0,0,36,16,3.0,,,,19,0,0,19,0,6,0,6,0,,0,0,0,417,0,0,398,815,840,0,0.0,,,,,,,,,
89,1932,,0,,,,0,,,,35,,0,0,0,,0,0,35,0,0,,0,,14,,0,,15,,163,103,103,0,,,,,0,0,20,0,0.0,,,,0,0,0,0,0,0,0,0,0,,0,0,0,365,0,0,308,673,673,0,0.0,,,,,,,,,
