Date,StockName,StockPrice
2/25/2010,IBM,127.0699997
2/25/2010,AAPL,28.8571434
2/25/2010,NFLX,9.372857094
2/25/2010,ORCL,24.87000084
2/25/2010,MSFT,28.60000038
2/26/2010,IBM,127.1600037
2/26/2010,AAPL,29.23142815
2/26/2010,NFLX,9.435714722
2/26/2010,ORCL,24.64999962
2/26/2010,MSFT,28.67000008
3/1/2010,IBM,128.5700073
3/1/2010,AAPL,29.8557148
3/1/2010,NFLX,9.95714283
3/1/2010,ORCL,24.73999977
3/1/2010,MSFT,29.02000046
3/2/2010,IBM,127.4199982
3/2/2010,AAPL,29.83571434
3/2/2010,NFLX,9.85428524
3/2/2010,ORCL,24.57999992
3/2/2010,MSFT,28.45999908
3/3/2010,IBM,126.8799973
3/3/2010,AAPL,29.90428543
3/3/2010,NFLX,9.649999619
3/3/2010,ORCL,24.5
3/3/2010,MSFT,28.45999908
3/4/2010,IBM,126.7200012
3/4/2010,AAPL,30.10142899
3/4/2010,NFLX,9.715714455
3/4/2010,ORCL,24.76000023
3/4/2010,MSFT,28.62999916
3/5/2010,IBM,127.25
3/5/2010,AAPL,31.27857208
3/5/2010,NFLX,9.66428566
3/5/2010,ORCL,24.95000076
3/5/2010,MSFT,28.59000015
3/8/2010,IBM,126.4100037
3/8/2010,AAPL,31.29714203
3/8/2010,NFLX,9.811429024
3/8/2010,ORCL,24.70000076
3/8/2010,MSFT,28.62999916
3/9/2010,IBM,125.5500031
3/9/2010,AAPL,31.86000061
3/9/2010,NFLX,9.991428375
3/9/2010,ORCL,24.87999916
3/9/2010,MSFT,28.79999924
3/10/2010,IBM,125.6200027
3/10/2010,AAPL,32.11999893
3/10/2010,NFLX,10.18285751
3/10/2010,ORCL,24.87000084
3/10/2010,MSFT,28.96999931
3/11/2010,IBM,127.5999985
3/11/2010,AAPL,32.2142868
3/11/2010,NFLX,10.17000008
3/11/2010,ORCL,25.13999939
3/11/2010,MSFT,29.18000031
3/12/2010,IBM,127.9400024
3/12/2010,AAPL,32.37142944
3/12/2010,NFLX,9.997142792
3/12/2010,ORCL,25.04999924
3/12/2010,MSFT,29.27000046
3/15/2010,IBM,127.8300018
3/15/2010,AAPL,31.97714233
3/15/2010,NFLX,9.942856789
3/15/2010,ORCL,25.28000069
3/15/2010,MSFT,29.29000092
3/16/2010,IBM,128.6699982
3/16/2010,AAPL,32.06428528
3/16/2010,NFLX,10.09000015
3/16/2010,ORCL,25.20999908
3/16/2010,MSFT,29.37000084
3/17/2010,IBM,127.7600021
3/17/2010,AAPL,32.01714325
3/17/2010,NFLX,10.13142872
3/17/2010,ORCL,25.46999931
3/17/2010,MSFT,29.62999916
3/18/2010,IBM,128.3800049
3/18/2010,AAPL,32.09285736
3/18/2010,NFLX,10.07714272
3/18/2010,ORCL,25.37999916
3/18/2010,MSFT,29.61000061
3/19/2010,IBM,127.7099991
3/19/2010,AAPL,31.75
3/19/2010,NFLX,10.06428528
3/19/2010,ORCL,25.19000053
3/19/2010,MSFT,29.59000015
3/22/2010,IBM,127.9800034
3/22/2010,AAPL,32.1071434
3/22/2010,NFLX,10.41285706
3/22/2010,ORCL,25.55999947
3/22/2010,MSFT,29.60000038
3/23/2010,IBM,129.3699951
3/23/2010,AAPL,32.62285614
3/23/2010,NFLX,10.42285728
3/23/2010,ORCL,25.98999977
3/23/2010,MSFT,29.87999916
3/24/2010,IBM,128.5299988
3/24/2010,AAPL,32.76714325
3/24/2010,NFLX,10.33857155
3/24/2010,ORCL,25.76000023
3/24/2010,MSFT,29.64999962
3/25/2010,IBM,129.2400055
3/25/2010,AAPL,32.37857056
3/25/2010,NFLX,10.50571442
3/25/2010,ORCL,26.04000092
3/25/2010,MSFT,30.01000023
3/26/2010,IBM,129.2599945
3/26/2010,AAPL,32.98571396
3/26/2010,NFLX,10.61428547
3/26/2010,ORCL,25.69000053
3/26/2010,MSFT,29.65999985
3/29/2010,IBM,128.5899963
3/29/2010,AAPL,33.19857025
3/29/2010,NFLX,10.55714321
3/29/2010,ORCL,25.56999969
3/29/2010,MSFT,29.59000015
3/30/2010,IBM,128.7700043
3/30/2010,AAPL,33.69285583
3/30/2010,NFLX,10.72285748
3/30/2010,ORCL,25.54000092
3/30/2010,MSFT,29.77000046
3/31/2010,IBM,128.25
3/31/2010,AAPL,33.57143021
3/31/2010,NFLX,10.53428555
3/31/2010,ORCL,25.70999908
3/31/2010,MSFT,29.29000092
4/1/2010,IBM,128.25
4/1/2010,AAPL,33.70999908
4/1/2010,NFLX,10.71428585
4/1/2010,ORCL,25.45999908
4/1/2010,MSFT,29.15999985
4/5/2010,IBM,129.3500061
4/5/2010,AAPL,34.06999969
4/5/2010,NFLX,11.4271431
4/5/2010,ORCL,25.57999992
4/5/2010,MSFT,29.27000046
4/6/2010,IBM,128.9299927
4/6/2010,AAPL,34.22000122
4/6/2010,NFLX,11.90999985
4/6/2010,ORCL,25.82999992
4/6/2010,MSFT,29.31999969
4/7/2010,IBM,128.4799957
4/7/2010,AAPL,34.37142944
4/7/2010,NFLX,11.39000034
4/7/2010,ORCL,25.90999985
4/7/2010,MSFT,29.35000038
4/8/2010,IBM,127.6100006
4/8/2010,AAPL,34.27857208
4/8/2010,NFLX,11.68999958
4/8/2010,ORCL,25.82999992
4/8/2010,MSFT,29.92000008
4/9/2010,IBM,128.7599945
4/9/2010,AAPL,34.54142761
4/9/2010,NFLX,11.77428532
4/9/2010,ORCL,26.12999916
4/9/2010,MSFT,30.34000015
4/12/2010,IBM,128.3600006
4/12/2010,AAPL,34.61285782
4/12/2010,NFLX,11.88285732
4/12/2010,ORCL,26.20000076
4/12/2010,MSFT,30.31999969
4/13/2010,IBM,129.0299988
4/13/2010,AAPL,34.63285828
4/13/2010,NFLX,12.34000015
4/13/2010,ORCL,26.35000038
4/13/2010,MSFT,30.45000076
4/14/2010,IBM,131.25
4/14/2010,AAPL,35.09857178
4/14/2010,NFLX,12.51000023
4/14/2010,ORCL,26.37999916
4/14/2010,MSFT,30.81999969
4/15/2010,IBM,130.8899994
4/15/2010,AAPL,35.56000137
4/15/2010,NFLX,12.40428543
4/15/2010,ORCL,26.20000076
4/15/2010,MSFT,30.87000084
4/16/2010,IBM,130.6300049
4/16/2010,AAPL,35.34285736
4/16/2010,NFLX,12.18714333
4/16/2010,ORCL,25.95000076
4/16/2010,MSFT,30.67000008
4/19/2010,IBM,132.2299957
4/19/2010,AAPL,35.29571533
4/19/2010,NFLX,12.11428547
4/19/2010,ORCL,26.19000053
4/19/2010,MSFT,31.04000092
4/20/2010,IBM,129.6900024
4/20/2010,AAPL,34.94142914
4/20/2010,NFLX,12.43857098
4/20/2010,ORCL,26.14999962
4/20/2010,MSFT,31.36000061
4/21/2010,IBM,128.9900055
4/21/2010,AAPL,37.03142929
4/21/2010,NFLX,12.42571449
4/21/2010,ORCL,26.29000092
4/21/2010,MSFT,31.32999992
4/22/2010,IBM,129.1300049
4/22/2010,AAPL,38.06714249
4/22/2010,NFLX,14.3214283
4/22/2010,ORCL,26.23999977
4/22/2010,MSFT,31.38999939
4/23/2010,IBM,129.9900055
4/23/2010,AAPL,38.68999863
4/23/2010,NFLX,14.24714279
4/23/2010,ORCL,26.47999954
4/23/2010,MSFT,30.95999908
4/26/2010,IBM,130.7299957
4/26/2010,AAPL,38.5
4/26/2010,NFLX,15.45285702
4/26/2010,ORCL,26.46999931
4/26/2010,MSFT,31.11000061
4/27/2010,IBM,128.8200073
4/27/2010,AAPL,37.43428421
4/27/2010,NFLX,14.58142853
4/27/2010,ORCL,25.97999954
4/27/2010,MSFT,30.85000038
4/28/2010,IBM,130.1000061
4/28/2010,AAPL,37.37142944
4/28/2010,NFLX,14.19857121
4/28/2010,ORCL,25.86000061
4/28/2010,MSFT,30.90999985
4/29/2010,IBM,130.4600067
4/29/2010,AAPL,38.37714386
4/29/2010,NFLX,14.73857117
4/29/2010,ORCL,25.96999931
4/29/2010,MSFT,31
4/30/2010,IBM,129
4/30/2010,AAPL,37.29857254
4/30/2010,NFLX,14.12857151
4/30/2010,ORCL,25.87000084
4/30/2010,MSFT,30.54000092
5/3/2010,IBM,129.6000061
5/3/2010,AAPL,38.04999924
5/3/2010,NFLX,14.56999969
5/3/2010,ORCL,26.01000023
5/3/2010,MSFT,30.86000061
5/4/2010,IBM,128.1199951
5/4/2010,AAPL,36.95428467
5/4/2010,NFLX,14.19428539
5/4/2010,ORCL,24.96999931
5/4/2010,MSFT,30.12999916
5/5/2010,IBM,127.4599991
5/5/2010,AAPL,36.56999969
5/5/2010,NFLX,14.03285694
5/5/2010,ORCL,24.94000053
5/5/2010,MSFT,29.85000038
5/6/2010,IBM,123.9199982
5/6/2010,AAPL,35.17856979
5/6/2010,NFLX,13.85285759
5/6/2010,ORCL,23.90999985
5/6/2010,MSFT,28.97999954
5/7/2010,IBM,122.0999985
5/7/2010,AAPL,33.69428635
5/7/2010,NFLX,13.01285744
5/7/2010,ORCL,23.40999985
5/7/2010,MSFT,28.20999908
5/10/2010,IBM,126.2699966
5/10/2010,AAPL,36.2842865
5/10/2010,NFLX,13.9285717
5/10/2010,ORCL,24.38999939
5/10/2010,MSFT,28.94000053
5/11/2010,IBM,126.8899994
5/11/2010,AAPL,36.64571381
5/11/2010,NFLX,14.26000023
5/11/2010,ORCL,24.19000053
5/11/2010,MSFT,28.87999916
5/12/2010,IBM,132.6799927
5/12/2010,AAPL,37.44142914
5/12/2010,NFLX,15.40428543
5/12/2010,ORCL,24.60000038
5/12/2010,MSFT,29.44000053
5/13/2010,IBM,131.4799957
5/13/2010,AAPL,36.90857315
5/13/2010,NFLX,15.71571445
5/13/2010,ORCL,24.23999977
5/13/2010,MSFT,29.23999977
5/14/2010,IBM,131.1900024
5/14/2010,AAPL,36.25999832
5/14/2010,NFLX,14.36571407
5/14/2010,ORCL,23.78000069
5/14/2010,MSFT,28.93000031
5/17/2010,IBM,130.4400024
5/17/2010,AAPL,36.31714249
5/17/2010,NFLX,15.19285679
5/17/2010,ORCL,23.73999977
5/17/2010,MSFT,28.94000053
5/18/2010,IBM,129.9499969
5/18/2010,AAPL,36.05142975
5/18/2010,NFLX,14.5728569
5/18/2010,ORCL,23.43000031
5/18/2010,MSFT,28.60000038
5/19/2010,IBM,128.8600006
5/19/2010,AAPL,35.47714233
5/19/2010,NFLX,14.37285709
5/19/2010,ORCL,23.19000053
5/19/2010,MSFT,28.23999977
5/20/2010,IBM,123.8000031
5/20/2010,AAPL,33.9657135
5/20/2010,NFLX,13.56999969
5/20/2010,ORCL,22.35000038
5/20/2010,MSFT,27.11000061
5/21/2010,IBM,125.4199982
5/21/2010,AAPL,34.61714172
5/21/2010,NFLX,14.21000004
5/21/2010,ORCL,22.15999985
5/21/2010,MSFT,26.84000015
5/24/2010,IBM,124.4499969
5/24/2010,AAPL,35.2514267
5/24/2010,NFLX,14.51714325
5/24/2010,ORCL,22.28000069
5/24/2010,MSFT,26.27000046
5/25/2010,IBM,124.5199966
5/25/2010,AAPL,35.03142929
5/25/2010,NFLX,15
5/25/2010,ORCL,22.20000076
5/25/2010,MSFT,26.06999969
5/26/2010,IBM,123.2300034
5/26/2010,AAPL,34.87285614
5/26/2010,NFLX,14.97142887
5/26/2010,ORCL,21.90999985
5/26/2010,MSFT,25.01000023
5/27/2010,IBM,126.3899994
5/27/2010,AAPL,36.19285583
5/27/2010,NFLX,15.55142879
5/27/2010,ORCL,22.57999992
5/27/2010,MSFT,26
5/28/2010,IBM,125.2600021
5/28/2010,AAPL,36.69714355
5/28/2010,NFLX,15.87857151
5/28/2010,ORCL,22.56999969
5/28/2010,MSFT,25.79999924
6/1/2010,IBM,124.3399963
6/1/2010,AAPL,37.26142883
6/1/2010,NFLX,15.32714272
6/1/2010,ORCL,22.20000076
6/1/2010,MSFT,25.88999939
6/2/2010,IBM,127.4100037
6/2/2010,AAPL,37.70714188
6/2/2010,NFLX,15.82571411
6/2/2010,ORCL,22.63999939
6/2/2010,MSFT,26.45999908
6/3/2010,IBM,127.9599991
6/3/2010,AAPL,37.58856964
6/3/2010,NFLX,15.97857189
6/3/2010,ORCL,22.84000015
6/3/2010,MSFT,26.86000061
6/4/2010,IBM,125.2799988
6/4/2010,AAPL,36.56571579
6/4/2010,NFLX,15.68285751
6/4/2010,ORCL,22.12999916
6/4/2010,MSFT,25.79000092
6/7/2010,IBM,124.1299973
6/7/2010,AAPL,35.84857178
6/7/2010,NFLX,15.59428596
6/7/2010,ORCL,21.70000076
6/7/2010,MSFT,25.29000092
6/8/2010,IBM,123.7200012
6/8/2010,AAPL,35.61857224
6/8/2010,NFLX,15.76142883
6/8/2010,ORCL,21.76000023
6/8/2010,MSFT,25.11000061
6/9/2010,IBM,123.9000015
6/9/2010,AAPL,34.74285889
6/9/2010,NFLX,16.48999977
6/9/2010,ORCL,21.54000092
6/9/2010,MSFT,24.79000092
6/10/2010,IBM,127.6800003
6/10/2010,AAPL,35.78714371
6/10/2010,NFLX,16.95142937
6/10/2010,ORCL,22.20000076
6/10/2010,MSFT,25
6/11/2010,IBM,128.4499969
6/11/2010,AAPL,36.2157135
6/11/2010,NFLX,17.24142838
6/11/2010,ORCL,22.69000053
6/11/2010,MSFT,25.65999985
6/14/2010,IBM,128.5
6/14/2010,AAPL,36.32571411
6/14/2010,NFLX,18.11571503
6/14/2010,ORCL,22.69000053
6/14/2010,MSFT,25.5
6/15/2010,IBM,129.7899933
6/15/2010,AAPL,37.09857178
6/15/2010,NFLX,17.6428566
6/15/2010,ORCL,23.20000076
6/15/2010,MSFT,26.57999992
6/16/2010,IBM,130.3500061
6/16/2010,AAPL,38.17856979
6/16/2010,NFLX,17.80999947
6/16/2010,ORCL,23.18000031
6/16/2010,MSFT,26.31999969
6/17/2010,IBM,130.9799957
6/17/2010,AAPL,38.83856964
6/17/2010,NFLX,17.97999954
6/17/2010,ORCL,23.06999969
6/17/2010,MSFT,26.37000084
6/18/2010,IBM,130.1499939
6/18/2010,AAPL,39.15285873
6/18/2010,NFLX,18.05999947
6/18/2010,ORCL,23.20000076
6/18/2010,MSFT,26.44000053
6/21/2010,IBM,130.6499939
6/21/2010,AAPL,38.59571457
6/21/2010,NFLX,16.9985714
6/21/2010,ORCL,23.09000015
6/21/2010,MSFT,25.95000076
6/22/2010,IBM,129.3000031
6/22/2010,AAPL,39.12142944
6/22/2010,NFLX,16.63285637
6/22/2010,ORCL,22.88999939
6/22/2010,MSFT,25.77000046
6/23/2010,IBM,130.1100006
6/23/2010,AAPL,38.70999908
6/23/2010,NFLX,16.82428551
6/23/2010,ORCL,22.68000031
6/23/2010,MSFT,25.30999947
6/24/2010,IBM,128.1900024
6/24/2010,AAPL,38.42856979
6/24/2010,NFLX,16.4642849
6/24/2010,ORCL,22.21999931
6/24/2010,MSFT,25
6/25/2010,IBM,127.1200027
6/25/2010,AAPL,38.09999847
6/25/2010,NFLX,16.85428619
6/25/2010,ORCL,22.65999985
6/25/2010,MSFT,24.53000069
6/28/2010,IBM,128.9799957
6/28/2010,AAPL,38.32857132
6/28/2010,NFLX,16.80142784
6/28/2010,ORCL,22.45000076
6/28/2010,MSFT,24.30999947
6/29/2010,IBM,125.0899963
6/29/2010,AAPL,36.59571457
6/29/2010,NFLX,16.08285713
6/29/2010,ORCL,21.75
6/29/2010,MSFT,23.30999947
6/30/2010,IBM,123.4800034
6/30/2010,AAPL,35.93285751
6/30/2010,NFLX,15.52142811
6/30/2010,ORCL,21.45999908
6/30/2010,MSFT,23.01000023
7/1/2010,IBM,122.5699997
7/1/2010,AAPL,35.49714279
7/1/2010,NFLX,15.66571426
7/1/2010,ORCL,21.54999924
7/1/2010,MSFT,23.15999985
7/2/2010,IBM,121.8600006
7/2/2010,AAPL,35.27714157
7/2/2010,NFLX,15.29714298
7/2/2010,ORCL,21.82999992
7/2/2010,MSFT,23.27000046
7/6/2010,IBM,123.4599991
7/6/2010,AAPL,35.51856995
7/6/2010,NFLX,15.32428551
7/6/2010,ORCL,22.31999969
7/6/2010,MSFT,23.81999969
7/7/2010,IBM,127
7/7/2010,AAPL,36.95285797
7/7/2010,NFLX,16.9271431
7/7/2010,ORCL,23.09000015
7/7/2010,MSFT,24.29999924
7/8/2010,IBM,127.9700012
7/8/2010,AAPL,36.86999893
7/8/2010,NFLX,16.71142769
7/8/2010,ORCL,23.21999931
7/8/2010,MSFT,24.40999985
7/9/2010,IBM,127.9599991
7/9/2010,AAPL,37.08856964
7/9/2010,NFLX,16.79000092
7/9/2010,ORCL,23.37000084
7/9/2010,MSFT,24.27000046
7/12/2010,IBM,128.6699982
7/12/2010,AAPL,36.75571442
7/12/2010,NFLX,17.05428505
7/12/2010,ORCL,23.37999916
7/12/2010,MSFT,24.82999992
7/13/2010,IBM,130.4799957
7/13/2010,AAPL,35.97142792
7/13/2010,NFLX,17.27428627
7/13/2010,ORCL,23.70999908
7/13/2010,MSFT,25.12999916
7/14/2010,IBM,130.7200012
7/14/2010,AAPL,36.10428619
7/14/2010,NFLX,17.5714283
7/14/2010,ORCL,23.94000053
7/14/2010,MSFT,25.44000053
7/15/2010,IBM,130.7200012
7/15/2010,AAPL,35.92142868
7/15/2010,NFLX,17.30142784
7/15/2010,ORCL,23.82999992
7/15/2010,MSFT,25.51000023
7/16/2010,IBM,128.0299988
7/16/2010,AAPL,35.70000076
7/16/2010,NFLX,16.91285706
7/16/2010,ORCL,23.27000046
7/16/2010,MSFT,24.88999939
7/19/2010,IBM,129.7899933
7/19/2010,AAPL,35.08285904
7/19/2010,NFLX,16.98571396
7/19/2010,ORCL,23.59000015
7/19/2010,MSFT,25.22999954
7/20/2010,IBM,126.5500031
7/20/2010,AAPL,35.98428726
7/20/2010,NFLX,17.19857216
7/20/2010,ORCL,23.92000008
7/20/2010,MSFT,25.47999954
7/21/2010,IBM,125.2699966
7/21/2010,AAPL,36.31999969
7/21/2010,NFLX,17.09285736
7/21/2010,ORCL,23.55999947
7/21/2010,MSFT,25.12000084
7/22/2010,IBM,127.4700012
7/22/2010,AAPL,37.00285721
7/22/2010,NFLX,14.79428577
7/22/2010,ORCL,24.30999947
7/22/2010,MSFT,25.84000015
7/23/2010,IBM,128.3800049
7/23/2010,AAPL,37.13428497
7/23/2010,NFLX,15.38571453
7/23/2010,ORCL,24.5
7/23/2010,MSFT,25.80999947
7/26/2010,IBM,128.4100037
7/26/2010,AAPL,37.04000092
7/26/2010,NFLX,14.68428612
7/26/2010,ORCL,24.63999939
7/26/2010,MSFT,26.10000038
7/27/2010,IBM,128.6300049
7/27/2010,AAPL,37.72571564
7/27/2010,NFLX,14.86999989
7/27/2010,ORCL,24.56999969
7/27/2010,MSFT,26.15999985
7/28/2010,IBM,128.4299927
7/28/2010,AAPL,37.27999878
7/28/2010,NFLX,14.32999992
7/28/2010,ORCL,24.28000069
7/28/2010,MSFT,25.95000076
7/29/2010,IBM,128.0200043
7/29/2010,AAPL,36.87285614
7/29/2010,NFLX,14.00285721
7/29/2010,ORCL,23.70000076
7/29/2010,MSFT,26.03000069
7/30/2010,IBM,128.3999939
7/30/2010,AAPL,36.75
7/30/2010,NFLX,14.64999962
7/30/2010,ORCL,23.63999939
7/30/2010,MSFT,25.80999947
8/2/2010,IBM,130.7599945
8/2/2010,AAPL,37.40714264
8/2/2010,NFLX,14.554286
8/2/2010,ORCL,24.29000092
8/2/2010,MSFT,26.32999992
8/3/2010,IBM,130.3699951
8/3/2010,AAPL,37.41857147
8/3/2010,NFLX,14.91571426
8/3/2010,ORCL,24.20999908
8/3/2010,MSFT,26.15999985
8/4/2010,IBM,131.2700043
8/4/2010,AAPL,37.568573
8/4/2010,NFLX,15.4471426
8/4/2010,ORCL,24.48999977
8/4/2010,MSFT,25.72999954
8/5/2010,IBM,131.8300018
8/5/2010,AAPL,37.38571548
8/5/2010,NFLX,15.78999996
8/5/2010,ORCL,24.29000092
8/5/2010,MSFT,25.37000084
8/6/2010,IBM,130.1399994
8/6/2010,AAPL,37.15571594
8/6/2010,NFLX,16.90285683
8/6/2010,ORCL,24.37999916
8/6/2010,MSFT,25.54999924
8/9/2010,IBM,132
8/9/2010,AAPL,37.3928566
8/9/2010,NFLX,16.70000076
8/9/2010,ORCL,24.26000023
8/9/2010,MSFT,25.61000061
8/10/2010,IBM,131.8399963
8/10/2010,AAPL,37.05857086
8/10/2010,NFLX,17.85857201
8/10/2010,ORCL,24.29000092
8/10/2010,MSFT,25.06999969
8/11/2010,IBM,129.8300018
8/11/2010,AAPL,35.74142838
8/11/2010,NFLX,18.06714249
8/11/2010,ORCL,23.65999985
8/11/2010,MSFT,24.86000061
8/12/2010,IBM,128.3000031
8/12/2010,AAPL,35.97000122
8/12/2010,NFLX,19.00714302
8/12/2010,ORCL,22.94000053
8/12/2010,MSFT,24.48999977
8/13/2010,IBM,127.8700027
