Date,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DOW,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA
2010-01-04,83.0199966430664,40.91999816894531,30.572856903076172,56.18000030517578,58.54999923706055,79.05999755859375,24.690000534057617,28.520000457763672,32.06999969482422,,69.1500015258789,173.0800018310547,28.670000076293945,132.4499969482422,20.8799991607666,64.68000030517578,42.849998474121094,62.779998779296875,37.0099983215332,30.950000762939453,16.337499618530273,18.93000030517578,61.119998931884766,49.810001373291016,71.62999725341797,31.530000686645508,31.21294593811035,22.03499984741211,54.22999954223633,37.29999923706055
2010-01-05,82.5,40.83000183105469,30.625713348388672,58.02000045776367,59.25,79.62000274658203,24.579999923706055,28.174999237060547,31.989999771118164,,69.41999816894531,176.13999938964844,28.8799991607666,130.85000610351562,20.8700008392334,63.93000030517578,43.68000030517578,62.29999923706055,37.15999984741211,30.959999084472656,16.40250015258789,18.65999984741211,61.13999938964844,48.630001068115234,70.55999755859375,31.479999542236328,31.26921844482422,21.782499313354492,53.689998626708984,37.0
2010-01-06,83.66999816894531,41.4900016784668,30.13857078552246,59.779998779296875,59.43000030517578,79.62999725341797,24.420000076293945,28.165000915527344,31.81999969482422,,70.0199966430664,174.25999450683594,28.780000686645508,130.0,20.799999237060547,64.44999694824219,43.91999816894531,61.45000076293945,37.65999984741211,30.770000457763672,16.302499771118164,18.600000381469727,60.849998474121094,47.939998626708984,70.19000244140625,31.790000915527344,29.937416076660156,21.489999771118164,53.56999969482422,36.720001220703125
2010-01-07,83.7300033569336,41.97999954223633,30.082857131958008,62.20000076293945,59.66999816894531,79.33000183105469,24.530000686645508,28.094999313354492,31.829999923706055,,69.80000305175781,177.6699981689453,29.1200008392334,129.5500030517578,20.600000381469727,63.9900016784668,44.790000915527344,61.900001525878906,37.720001220703125,30.450000762939453,16.462499618530273,18.530000686645508,60.52000045776367,48.630001068115234,70.48999786376953,33.0099983215332,29.759218215942383,21.690000534057617,53.599998474121094,36.939998626708984
2010-01-08,84.31999969482422,41.95000076293945,30.28285789489746,61.599998474121094,60.34000015258789,79.47000122070312,24.65999984741211,27.575000762939453,31.8799991607666,,69.5199966430664,174.30999755859375,28.979999542236328,130.85000610351562,20.829999923706055,64.20999908447266,44.68000030517578,61.84000015258789,37.70000076293945,30.65999984741211,16.43000030517578,18.68000030517578,60.439998626708984,48.560001373291016,70.62999725341797,32.70000076293945,29.77797508239746,21.75,53.33000183105469,36.9900016784668
2010-01-11,83.9800033569336,41.470001220703125,30.015714645385742,60.869998931884766,64.12999725341797,80.87999725341797,24.59000015258789,28.135000228881836,31.360000610351562,,70.30000305175781,171.55999755859375,28.15999984741211,129.47999572753906,20.950000762939453,64.22000122070312,44.529998779296875,62.31999969482422,37.849998474121094,30.270000457763672,16.227500915527344,18.829999923706055,60.20000076293945,48.540000915527344,72.16000366210938,32.91999816894531,29.899900436401367,21.6875,54.209999084472656,37.04999923706055
2010-01-12,84.05000305175781,42.02000045776367,29.674285888671875,60.43000030517578,62.2400016784668,80.41000366210938,24.200000762939453,28.440000534057617,30.81999969482422,,69.94999694824219,167.82000732421875,27.979999542236328,130.50999450683594,20.610000610351562,64.55999755859375,43.4900016784668,62.65999984741211,37.54999923706055,30.06999969482422,16.204999923706055,18.770000457763672,60.88999938964844,48.849998474121094,71.73999786376953,32.04999923706055,29.928037643432617,21.584999084472656,54.72999954223633,36.7400016784668
2010-01-13,83.77999877929688,42.150001525878906,30.092857360839844,61.15999984741211,62.33000183105469,79.80000305175781,24.639999389648438,28.514999389648438,31.290000915527344,,69.66999816894531,169.07000732421875,28.1299991607666,130.22999572753906,20.959999084472656,64.97000122070312,44.25,62.59000015258789,38.93000030517578,30.350000381469727,16.350000381469727,19.209999084472656,61.52000045776367,49.02000045776367,72.55999755859375,32.540000915527344,29.890522003173828,21.78499984741211,55.0099983215332,37.08000183105469
2010-01-14,83.5,42.68000030517578,29.91857147216797,61.560001373291016,61.97999954223633,79.55000305175781,24.950000762939453,28.565000534057617,31.020000457763672,,69.68000030517578,168.52999877929688,28.299999237060547,132.30999755859375,21.479999542236328,65.0999984741211,44.689998626708984,62.650001525878906,39.9900016784668,30.959999084472656,16.247499465942383,19.3799991607666,61.58000183105469,49.279998779296875,72.80999755859375,33.31999969482422,29.280895233154297,21.860000610351562,54.209999084472656,37.11000061035156
2010-01-15,83.37000274658203,42.38999938964844,29.41857147216797,60.81999969482422,60.119998931884766,79.2300033569336,24.399999618530273,28.145000457763672,30.600000381469727,,69.11000061035156,165.2100067138672,28.56999969482422,131.77999877929688,20.799999237060547,64.55999755859375,43.68000030517578,62.279998779296875,39.470001220703125,30.860000610351562,16.09749984741211,19.489999771118164,60.81999969482422,48.790000915527344,71.98999786376953,33.75,28.680644989013672,21.53499984741211,53.68000030517578,36.599998474121094
2010-01-19,85.12000274658203,42.959999084472656,30.719999313354492,60.650001525878906,60.93000030517578,79.68000030517578,24.850000381469727,28.209999084472656,31.010000228881836,,69.2699966430664,166.86000061035156,28.8799991607666,134.13999938964844,21.049999237060547,65.3499984741211,43.279998779296875,63.47999954223633,40.619998931884766,31.100000381469727,16.177499771118164,20.0,61.720001220703125,49.43000030517578,72.29000091552734,35.130001068115234,29.290273666381836,21.962499618530273,54.029998779296875,36.7400016784668
